z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
6,11,17C,1.31E+4,2.29E+1,-2.26E+4,2.04E+2,-2.37E+4,2.04E+2,6.55E+3,1.02,-2.24E+2,1.02
7,15,22N,2.24E+4,2.15E+2,-2.18E+4,3.11E+2,-2.28E+4,3.11E+2,6.37E+3,9.44,-6.54E+2,9.44
7,14,21N,1.71E+4,1.34E+2,-2.04E+4,6.11E+2,-2.14E+4,6.11E+2,6.60E+3,6.38,-4.07E+2,6.38
7,17,24N,2.84E+4,4.33E+2,,,,,5.88E+3,1.70E+1,-8.72E+2,1.70E+1
7,16,23N,2.20E+4,4.37E+2,-2.74E+4,1.08E+3,-2.84E+4,1.08E+3,6.23E+3,1.82E+1,-7.56E+2,1.82E+1
7,11,18N,1.38E+4,1.85E+1,-1.18E+4,3.52E+1,-1.28E+4,3.52E+1,7.03E+3,1.03,-2.85E+1,1.03
7,10,17N,8.67E+3,1.50E+1,-1.31E+4,2.29E+1,-1.41E+4,2.29E+1,7.28E+3,8.82E-1,1.23E+2,8.82E-1
7,13,20N,1.79E+4,7.88E+1,-1.57E+4,2.43E+2,-1.67E+4,2.43E+2,6.70E+3,3.94,-2.96E+2,3.94
7,12,19N,1.25E+4,1.66E+1,-1.65E+4,9.97E+1,-1.75E+4,9.97E+1,6.94E+3,8.63E-1,-7.14E+1,8.63E-1
7,3,10N,,,2.31E+4,4.00E+2,2.20E+4,4.00E+2,3.64E+3,4.00E+1,-1.72E+3,4.00E+1
7,4,11N,-2.33E+4,6.02E+1,1.37E+4,5.00,1.26E+4,5.00,5.35E+3,4.54E-1,-6.24E+2,4.54E-1
7,5,12N,-1.46E+4,1.20E+1,1.73E+4,9.99E-1,1.63E+4,9.99E-1,6.17E+3,8.33E-2,-2.70E+2,8.33E-2
7,6,13N,-1.77E+4,9.53,2.22E+3,2.69E-1,1.19E+3,2.69E-1,7.23E+3,2.07E-2,-2.10E+2,2.07E-2
7,7,14N,-5.14E+3,2.52E-2,-1.56E+2,3.70E-3,-1.17E+3,3.70E-3,7.47E+3,2.00E-4,-2.58E+2,2.00E-4
7,8,15N,-2.75E+3,4.90E-1,-9.77E+3,8.00E-1,-1.07E+4,8.00E-1,7.69E+3,2.00E-4,-9.89E+1,2.00E-4
7,9,16N,1.04E+4,2.30,-8.01E+3,4.25,-9.03E+3,4.25,7.37E+3,1.43E-1,1.52,1.43E-1
8,17,25O,1.59E+4,1.91E+2,-2.86E+4,5.29E+2,-2.96E+4,5.29E+2,6.72E+3,6.60,-6.24E+2,6.60
