z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
59,101,160Pr,1.05E+4,4.02E+2,,,,,8.00E+3,2.00,-2.15,2.00
59,102,161Pr,9.74E+3,6.40E+2,,,,,7.98E+3,3.00,5.81E-1,3.00
59,85,144Pr,2.99E+3,2.40,-3.18E+2,8.32E-1,-1.34E+3,8.32E-1,8.31E+3,1.88E-2,-3.48,1.88E-2
59,85,144Pr,2.99E+3,2.40,-3.18E+2,8.32E-1,-1.34E+3,8.32E-1,8.31E+3,1.88E-2,-3.48,1.88E-2
59,84,143Pr,9.34E+2,1.36,-1.46E+3,1.86,-2.48E+3,1.86,8.32E+3,1.27E-2,-5.09,1.27E-2
59,87,146Pr,4.25E+3,3.43E+1,-1.04E+3,3.24E+1,-2.06E+3,3.24E+1,8.28E+3,2.35E-1,5.33,2.35E-1
59,86,145Pr,1.80E+3,7.03,-2.55E+3,3.36E+1,-3.58E+3,3.36E+1,8.30E+3,4.92E-2,2.41,4.92E-2
59,81,140Pr,-4.28E+2,6.95,3.38E+3,6.00,2.36E+3,6.00,8.34E+3,4.39E-2,-1.10E+1,4.39E-2
59,80,139Pr,-2.81E+3,2.76E+1,2.12E+3,2.99,1.10E+3,2.99,8.34E+3,2.63E-2,-3.73,2.63E-2
59,83,142Pr,2.16E+3,1.36,7.46E+2,2.48,-2.75E+2,2.48,8.33E+3,1.06E-2,-1.14E+1,1.06E-2
59,83,142Pr,2.16E+3,1.36,7.46E+2,2.48,-2.75E+2,2.48,8.33E+3,1.06E-2,-1.14E+1,1.06E-2
59,82,141Pr,-1.82E+3,2.80,-5.83E+2,1.17,-1.60E+3,1.17,8.35E+3,1.06E-2,-1.57E+1,1.06E-2
59,89,148Pr,4.87E+3,1.50E+1,-2.13E+3,1.25E+1,-3.15E+3,1.25E+1,8.24E+3,1.01E-1,8.58,1.01E-1
59,89,148Pr,4.87E+3,1.50E+1,-2.13E+3,1.25E+1,-3.15E+3,1.25E+1,8.24E+3,1.01E-1,8.58,1.01E-1
59,88,147Pr,2.70E+3,1.58E+1,-3.43E+3,1.55E+1,-4.45E+3,1.55E+1,8.27E+3,1.07E-1,8.83,1.07E-1
59,90,149Pr,3.33E+3,1.00E+1,-4.36E+3,1.42E+1,-5.39E+3,1.42E+1,8.23E+3,6.63E-2,1.09E+1,6.63E-2
59,96,155Pr,6.86E+3,1.94E+1,-7.63E+3,3.00E+2,-8.65E+3,3.00E+2,8.13E+3,1.11E-1,2.47,1.11E-1
59,95,154Pr,7.72E+3,1.00E+2,-5.64E+3,2.24E+2,-6.66E+3,2.24E+2,8.14E+3,6.49E-1,1.50,6.49E-1
59,98,157Pr,8.05E+3,3.82,-8.50E+3,4.00E+2,-9.52E+3,4.00E+2,8.08E+3,2.02E-2,1.77,2.02E-2
59,97,156Pr,8.75E+3,1.65,-6.63E+3,3.00E+2,-7.65E+3,3.00E+2,8.10E+3,6.60E-3,-5.49E-1,6.60E-3
59,92,151Pr,4.16E+3,1.16E+1,-5.55E+3,2.11E+1,-6.57E+3,2.11E+1,8.20E+3,7.72E-2,6.82,7.72E-2
59,91,150Pr,5.37E+3,9.06,-3.45E+3,1.42E+1,-4.47E+3,1.42E+1,8.21E+3,6.01E-2,6.94,6.01E-2
59,94,153Pr,5.76E+3,1.21E+1,-6.65E+3,2.01E+2,-7.68E+3,2.01E+2,8.17E+3,7.77E-2,3.96,7.77E-2
59,93,152Pr,6.39E+3,3.07E+1,-4.77E+3,2.01E+2,-5.79E+3,2.01E+2,8.18E+3,1.22E-1,2.20,1.22E-1
59,99,158Pr,9.68E+3,3.00E+2,-7.61E+3,5.00E+2,-8.63E+3,5.00E+2,8.05E+3,2.00,-1.73,2.00
59,62,121Pr,,,1.11E+4,6.41E+2,1.01E+4,6.41E+2,8.03E+3,4.00,-2.37E+1,4.00
59,65,124Pr,-8.32E+3,6.41E+2,1.17E+4,4.99E+2,1.07E+4,4.99E+2,8.12E+3,3.00,-7.12,3.00
59,67,126Pr,-6.94E+3,3.58E+2,1.04E+4,1.98E+2,9.47E+3,1.98E+2,8.18E+3,2.00,3.35E-1,2.00
59,66,125Pr,-1.00E+4,5.00E+2,8.58E+3,3.58E+2,7.56E+3,3.58E+2,8.16E+3,2.00,-4.02,2.00
59,69,128Pr,-5.80E+3,2.02E+2,9.20E+3,4.08E+1,8.18E+3,4.08E+1,8.22E+3,2.32E-1,6.54,2.32E-1
59,68,127Pr,-8.63E+3,3.58E+2,7.43E+3,1.98E+2,6.41E+3,1.98E+2,8.21E+3,2.00,3.92,2.00
59,74,133Pr,-5.60E+3,4.82E+1,4.48E+3,2.05E+1,3.45E+3,2.05E+1,8.31E+3,9.40E-2,1.36E+1,9.40E-2
59,74,133Pr,-5.60E+3,4.82E+1,4.48E+3,2.05E+1,3.45E+3,2.05E+1,8.31E+3,9.40E-2,1.36E+1,9.40E-2
59,73,132Pr,-3.80E+3,3.76E+1,7.24E+3,3.53E+1,6.21E+3,3.53E+1,8.29E+3,2.18E-1,1.32E+1,2.18E-1
59,76,135Pr,-4.72E+3,2.24E+1,3.68E+3,1.56E+1,2.65E+3,1.56E+1,8.32E+3,8.75E-2,1.03E+1,8.75E-2
59,75,134Pr,-2.88E+3,2.35E+1,6.30E+3,2.87E+1,5.28E+3,2.87E+1,8.31E+3,1.51E-1,1.18E+1,1.51E-1
59,75,134Pr,-2.88E+3,2.35E+1,6.30E+3,2.87E+1,5.28E+3,2.87E+1,8.31E+3,1.51E-1,1.18E+1,1.51E-1
59,70,129Pr,-7.39E+3,2.04E+2,6.51E+3,4.08E+1,5.49E+3,4.08E+1,8.25E+3,2.31E-1,1.07E+1,2.31E-1
59,72,131Pr,-6.53E+3,5.30E+1,5.40E+3,5.54E+1,4.38E+3,5.54E+1,8.28E+3,3.58E-1,1.32E+1,3.58E-1
59,72,131Pr,-6.53E+3,5.30E+1,5.40E+3,5.54E+1,4.38E+3,5.54E+1,8.28E+3,3.58E-1,1.32E+1,3.58E-1
59,71,130Pr,-4.57E+3,7.00E+1,8.24E+3,7.00E+1,7.22E+3,7.00E+1,8.26E+3,4.94E-1,1.15E+1,4.94E-1
59,71,130Pr,-4.57E+3,7.00E+1,8.24E+3,7.00E+1,7.22E+3,7.00E+1,8.26E+3,4.94E-1,1.15E+1,4.94E-1
59,78,137Pr,-3.61E+3,1.42E+1,2.71E+3,8.13,1.69E+3,8.13,8.34E+3,5.94E-2,4.62,5.94E-2
59,77,136Pr,-2.14E+3,1.64E+1,5.16E+3,1.14E+1,4.14E+3,1.14E+1,8.33E+3,8.42E-2,6.06,8.42E-2
59,79,138Pr,-1.11E+3,1.53E+1,4.43E+3,1.00E+1,3.41E+3,1.00E+1,8.33E+3,7.26E-2,2.00E-1,7.26E-2
59,79,138Pr,-1.11E+3,1.53E+1,4.43E+3,1.00E+1,3.41E+3,1.00E+1,8.33E+3,7.26E-2,2.00E-1,7.26E-2
60,103,163Nd,8.88E+3,6.40E+2,,,,,7.99E+3,3.00,-6.86E-1,3.00
60,101,161Nd,7.85E+3,4.00E+2,-9.74E+3,6.40E+2,-1.07E+4,6.40E+2,8.04E+3,2.00,-1.02,2.00
60,102,162Nd,7.03E+3,5.00E+2,,,,,8.02E+3,2.00,4.25E-1,2.00
60,100,160Nd,6.17E+3,4.66E+1,-1.05E+4,4.02E+2,-1.15E+4,4.02E+2,8.06E+3,2.91E-1,8.24E-1,2.91E-1
60,74,134Nd,-8.88E+3,4.35E+1,2.88E+3,2.35E+1,1.85E+3,2.35E+1,8.28E+3,8.82E-2,9.75,8.82E-2
60,73,133Nd,-6.92E+3,6.85E+1,5.60E+3,4.82E+1,4.58E+3,4.82E+1,8.26E+3,3.50E-1,1.10E+1,3.50E-1
60,73,133Nd,-6.92E+3,6.85E+1,5.60E+3,4.82E+1,4.58E+3,4.82E+1,8.26E+3,3.50E-1,1.10E+1,3.50E-1
60,72,132Nd,-9.79E+3,1.51E+2,3.80E+3,3.76E+1,2.77E+3,3.76E+1,8.25E+3,1.83E-1,8.06,1.83E-1
60,71,131Nd,-7.99E+3,2.02E+2,6.53E+3,5.30E+1,5.51E+3,5.30E+1,8.23E+3,2.10E-1,7.45,2.10E-1
60,70,130Nd,-1.11E+4,2.02E+2,4.57E+3,7.00E+1,3.55E+3,7.00E+1,8.22E+3,2.15E-1,1.82,2.15E-1
60,79,139Nd,-4.51E+3,2.58E+1,2.81E+3,2.76E+1,1.78E+3,2.76E+1,8.32E+3,1.98E-1,1.29,1.98E-1
60,79,139Nd,-4.51E+3,2.58E+1,2.81E+3,2.76E+1,1.78E+3,2.76E+1,8.32E+3,1.98E-1,1.29,1.98E-1
60,78,138Nd,-7.10E+3,1.60E+1,1.11E+3,1.53E+1,8.96E+1,1.53E+1,8.32E+3,8.40E-2,3.59,8.40E-2
60,77,137Nd,-5.51E+3,1.75E+1,3.61E+3,1.42E+1,2.59E+3,1.42E+1,8.30E+3,8.56E-2,6.56,8.56E-2
60,77,137Nd,-5.51E+3,1.75E+1,3.61E+3,1.42E+1,2.59E+3,1.42E+1,8.30E+3,8.56E-2,6.56,8.56E-2
60,76,136Nd,-8.02E+3,7.00E+1,2.14E+3,1.64E+1,1.11E+3,1.64E+1,8.30E+3,8.69E-2,7.93,8.69E-2
60,75,135Nd,-6.15E+3,8.50E+1,4.72E+3,2.24E+1,3.70E+3,2.24E+1,8.28E+3,1.41E-1,1.10E+1,1.41E-1
60,75,135Nd,-6.15E+3,8.50E+1,4.72E+3,2.24E+1,3.70E+3,2.24E+1,8.28E+3,1.41E-1,1.10E+1,1.41E-1
60,85,145Nd,-1.64E+2,2.53,-1.80E+3,7.03,-2.82E+3,7.03,8.30E+3,8.80E-3,-3.30E-1,8.80E-3
60,84,144Nd,-2.33E+3,2.64,-2.99E+3,2.40,-4.01E+3,2.40,8.32E+3,8.69E-3,-4.29,8.69E-3
60,83,143Nd,-1.04E+3,2.68,-9.34E+2,1.36,-1.95E+3,1.36,8.33E+3,8.80E-3,-9.76,8.80E-3
60,82,142Nd,-4.80E+3,2.36E+1,-2.16E+3,1.36,-3.18E+3,1.36,8.34E+3,8.80E-3,-1.44E+1,8.80E-3
60,81,141Nd,-3.66E+3,1.43E+1,1.82E+3,2.80,8.01E+2,2.80,8.33E+3,2.25E-2,-9.22,2.25E-2
60,81,141Nd,-3.66E+3,1.43E+1,1.82E+3,2.80,8.01E+2,2.80,8.33E+3,2.25E-2,-9.22,2.25E-2
60,80,140Nd,-6.04E+3,2.40E+1,4.28E+2,6.95,-5.93E+2,6.95,8.33E+3,2.33E-2,-3.95,2.33E-2
60,89,149Nd,1.68E+3,2.45,-3.33E+3,1.00E+1,-4.35E+3,1.00E+1,8.25E+3,1.38E-2,1.27E+1,1.38E-2
60,88,148Nd,-5.42E+2,5.87,-4.87E+3,1.50E+1,-5.89E+3,1.50E+1,8.27E+3,1.39E-2,9.96,1.39E-2
60,87,147Nd,8.95E+2,5.66E-1,-2.70E+3,1.58E+1,-3.72E+3,1.58E+1,8.28E+3,8.69E-3,7.59,8.69E-3
60,86,146Nd,-1.47E+3,4.11,-4.25E+3,3.43E+1,-5.27E+3,3.43E+1,8.30E+3,8.69E-3,3.56,8.69E-3
60,96,156Nd,3.96E+3,1.76,-8.75E+3,1.65,-9.77E+3,1.65,8.15E+3,8.40E-3,1.89,8.40E-3
60,95,155Nd,4.65E+3,1.02E+1,-6.86E+3,1.94E+1,-7.89E+3,1.94E+1,8.17E+3,5.91E-2,1.27,5.91E-2
60,94,154Nd,2.68E+3,2.50E+1,-7.72E+3,1.00E+2,-8.74E+3,1.00E+2,8.19E+3,6.70E-3,4.34,6.70E-3
60,93,153Nd,3.31E+3,9.35,-5.76E+3,1.21E+1,-6.78E+3,1.21E+1,8.20E+3,1.80E-2,3.43,1.80E-2
60,92,152Nd,1.10E+3,1.85E+1,-6.39E+3,3.07E+1,-7.41E+3,3.07E+1,8.22E+3,1.61E-1,7.24,1.61E-1
60,91,151Nd,2.44E+3,4.47,-4.16E+3,1.16E+1,-5.18E+3,1.16E+1,8.23E+3,7.50E-3,1.00E+1,7.50E-3
60,90,150Nd,-8.26E+1,2.00E+1,-5.37E+3,9.06,-6.40E+3,9.06,8.24E+3,7.50E-3,1.19E+1,7.50E-3
60,99,159Nd,6.83E+3,3.14E+1,-8.95E+3,4.01E+2,-9.97E+3,4.01E+2,8.08E+3,1.87E-1,-1.06,1.87E-1
60,98,158Nd,5.27E+3,1.57,-9.68E+3,3.00E+2,-1.07E+4,3.00E+2,8.11E+3,8.30E-3,1.19,8.30E-3
60,97,157Nd,5.80E+3,7.32,-8.05E+3,3.82,-9.08E+3,3.82,8.13E+3,1.36E-2,-7.75E-1,1.36E-2
60,69,129Nd,-9.19E+3,3.62E+2,7.39E+3,2.04E+2,6.37E+3,2.04E+2,8.19E+3,2.00,6.42E-1,2.00
60,69,129Nd,-9.19E+3,3.62E+2,7.39E+3,2.04E+2,6.37E+3,2.04E+2,8.19E+3,2.00,6.42E-1,2.00
60,68,128Nd,-1.23E+4,3.61E+2,5.80E+3,2.02E+2,4.77E+3,2.02E+2,8.17E+3,2.00,-4.21,2.00
60,67,127Nd,-1.06E+4,5.00E+2,8.63E+3,3.58E+2,7.61E+3,3.58E+2,8.14E+3,2.00,-7.98,2.00
60,66,126Nd,-1.36E+4,5.83E+2,6.94E+3,3.58E+2,5.92E+3,3.58E+2,8.12E+3,2.00,-1.27E+1,2.00
60,65,125Nd,,,1.00E+4,5.00E+2,8.97E+3,5.00E+2,8.08E+3,3.00,-1.61E+1,3.00
61,69,130Pm,-7.77E+3,4.47E+2,1.11E+4,2.02E+2,1.01E+4,2.02E+2,8.13E+3,2.00,-3.80,2.00
61,68,129Pm,-1.08E+4,5.83E+2,9.19E+3,3.62E+2,8.17E+3,3.62E+2,8.11E+3,2.00,-9.14,2.00
61,67,128Pm,-9.07E+3,5.83E+2,1.23E+4,3.61E+2,1.12E+4,3.61E+2,8.07E+3,2.00,-1.22E+1,2.00
61,75,136Pm,-4.35E+3,7.01E+1,8.02E+3,7.00E+1,7.00E+3,7.00E+1,8.24E+3,5.07E-1,1.01E+1,5.07E-1
61,75,136Pm,-4.35E+3,7.01E+1,8.02E+3,7.00E+1,7.00E+3,7.00E+1,8.24E+3,5.07E-1,1.01E+1,5.07E-1
61,74,135Pm,-7.20E+3,1.75E+2,6.15E+3,8.50E+1,5.12E+3,8.50E+1,8.23E+3,6.14E-1,1.00E+1,6.14E-1
61,74,135Pm,-7.20E+3,1.75E+2,6.15E+3,8.50E+1,5.12E+3,8.50E+1,8.23E+3,6.14E-1,1.00E+1,6.14E-1
61,73,134Pm,-5.38E+3,2.00E+2,8.88E+3,4.35E+1,7.86E+3,4.35E+1,8.21E+3,3.12E-1,8.42,3.12E-1
61,73,134Pm,-5.38E+3,2.00E+2,8.88E+3,4.35E+1,7.86E+3,4.35E+1,8.21E+3,3.12E-1,8.42,3.12E-1
61,72,133Pm,-8.17E+3,3.02E+2,6.92E+3,6.85E+1,5.90E+3,6.85E+1,8.20E+3,3.78E-1,5.86,3.78E-1
61,72,133Pm,-8.17E+3,3.02E+2,6.92E+3,6.85E+1,5.90E+3,6.85E+1,8.20E+3,3.78E-1,5.86,3.78E-1
61,71,132Pm,-6.48E+3,3.35E+2,9.79E+3,1.51E+2,8.77E+3,1.51E+2,8.17E+3,1.00,2.90,1.00
61,70,131Pm,-9.49E+3,4.47E+2,7.99E+3,2.02E+2,6.97E+3,2.02E+2,8.16E+3,2.00,1.21E-1,2.00
61,79,140Pm,-2.75E+3,2.72E+1,6.04E+3,2.40E+1,5.02E+3,2.40E+1,8.28E+3,1.73E-1,2.26,1.73E-1
61,79,140Pm,-2.75E+3,2.72E+1,6.04E+3,2.40E+1,5.02E+3,2.40E+1,8.28E+3,1.73E-1,2.26,1.73E-1
61,78,139Pm,-5.12E+3,1.74E+1,4.51E+3,2.58E+1,3.49E+3,2.58E+1,8.28E+3,9.78E-2,7.00,9.78E-2
61,78,139Pm,-5.12E+3,1.74E+1,4.51E+3,2.58E+1,3.49E+3,2.58E+1,8.28E+3,9.78E-2,7.00,9.78E-2
61,77,138Pm,-3.41E+3,1.65E+1,7.10E+3,1.60E+1,6.08E+3,1.60E+1,8.26E+3,8.40E-2,8.43,8.40E-2
61,76,137Pm,-6.08E+3,3.14E+1,5.51E+3,1.75E+1,4.48E+3,1.75E+1,8.26E+3,9.52E-2,1.04E+1,9.52E-2
61,76,137Pm,-6.08E+3,3.14E+1,5.51E+3,1.75E+1,4.48E+3,1.75E+1,8.26E+3,9.52E-2,1.04E+1,9.52E-2
61,86,147Pm,2.24E+2,2.94E-1,-8.95E+2,5.66E-1,-1.91E+3,5.66E-1,8.28E+3,8.80E-3,8.20,8.80E-3
61,85,146Pm,1.54E+3,3.00,1.47E+3,4.11,4.49E+2,4.11,8.28E+3,2.93E-2,2.67,2.93E-2
61,84,145Pm,-6.16E+2,2.53,1.64E+2,2.53,-8.57E+2,2.53,8.30E+3,1.93E-2,-1.86E-1,1.93E-2
61,83,144Pm,5.49E+2,2.66,2.33E+3,2.64,1.30E+3,2.64,8.30E+3,2.02E-2,-7.26,2.02E-2
61,82,143Pm,-3.44E+3,3.56,1.04E+3,2.68,1.96E+1,2.68,8.31E+3,2.06E-2,-1.15E+1,2.06E-2
61,81,142Pm,-2.15E+3,2.36E+1,4.80E+3,2.36E+1,3.78E+3,2.36E+1,8.30E+3,1.66E-1,-8.43,1.66E-1
61,80,141Pm,-4.58E+3,1.63E+1,3.66E+3,1.43E+1,2.64E+3,1.43E+1,8.30E+3,9.90E-2,-9.14E-1,9.90E-2
61,89,150Pm,3.45E+3,2.00E+1,8.26E+1,2.00E+1,-9.39E+2,2.00E+1,8.24E+3,1.33E-1,1.66E+1,1.33E-1
61,88,149Pm,1.07E+3,1.87,-1.68E+3,2.45,-2.71E+3,2.45,8.26E+3,1.47E-2,1.54E+1,1.47E-2
61,87,148Pm,2.47E+3,5.64,5.42E+2,5.87,-4.79E+2,5.87,8.26E+3,3.83E-2,1.04E+1,3.83E-2
61,87,148Pm,2.47E+3,5.64,5.42E+2,5.87,-4.79E+2,5.87,8.26E+3,3.83E-2,1.04E+1,3.83E-2
61,97,158Pm,6.14E+3,4.86,-5.27E+3,1.57,-6.29E+3,1.57,8.14E+3,5.60E-3,-2.09,5.60E-3
61,96,157Pm,4.38E+3,8.26,-5.80E+3,7.32,-6.82E+3,7.32,8.16E+3,4.46E-2,1.82,4.46E-2
61,95,156Pm,5.19E+3,8.60,-3.96E+3,1.76,-4.98E+3,1.76,8.17E+3,7.60E-3,5.71E-1,7.60E-3
61,95,156Pm,5.19E+3,8.60,-3.96E+3,1.76,-4.98E+3,1.76,8.17E+3,7.60E-3,5.71E-1,7.60E-3
61,94,155Pm,3.25E+3,4.90,-4.65E+3,1.02E+1,-5.67E+3,1.02E+1,8.19E+3,3.04E-2,4.91,3.04E-2
61,93,154Pm,4.18E+3,2.50E+1,-2.68E+3,2.50E+1,-3.70E+3,2.50E+1,8.20E+3,1.62E-1,4.69,1.62E-1
61,93,154Pm,4.18E+3,2.50E+1,-2.68E+3,2.50E+1,-3.70E+3,2.50E+1,8.20E+3,1.62E-1,4.69,1.62E-1
61,92,153Pm,1.91E+3,9.08,-3.31E+3,9.35,-4.33E+3,9.35,8.22E+3,5.92E-2,9.21,5.92E-2
61,91,152Pm,3.50E+3,2.58E+1,-1.10E+3,1.85E+1,-2.12E+3,1.85E+1,8.22E+3,1.70E-1,1.11E+1,1.70E-1
61,91,152Pm,3.50E+3,2.58E+1,-1.10E+3,1.85E+1,-2.12E+3,1.85E+1,8.22E+3,1.70E-1,1.11E+1,1.70E-1
61,91,152Pm,3.50E+3,2.58E+1,-1.10E+3,1.85E+1,-2.12E+3,1.85E+1,8.22E+3,1.70E-1,1.11E+1,1.70E-1
61,90,151Pm,1.19E+3,4.47,-2.44E+3,4.47,-3.46E+3,4.47,8.24E+3,3.05E-2,1.48E+1,3.05E-2
61,99,160Pm,7.33E+3,2.83,-6.17E+3,4.66E+1,-7.19E+3,4.66E+1,8.10E+3,1.28E-2,-1.99,1.28E-2
61,99,160Pm,7.33E+3,2.83,-6.17E+3,4.66E+1,-7.19E+3,4.66E+1,8.10E+3,1.28E-2,-1.99,1.28E-2
61,98,159Pm,5.65E+3,1.16E+1,-6.83E+3,3.14E+1,-7.85E+3,3.14E+1,8.12E+3,6.31E-2,1.13,6.31E-2
61,104,165Pm,8.84E+3,6.40E+2,,,,,7.99E+3,3.00,2.56,3.00
61,100,161Pm,6.58E+3,1.13E+1,-7.85E+3,4.00E+2,-8.87E+3,4.00E+2,8.08E+3,5.61E-2,5.79E-1,5.61E-2
61,101,162Pm,8.33E+3,3.00E+2,-7.03E+3,5.00E+2,-8.05E+3,5.00E+2,8.06E+3,2.00,-2.26,2.00
61,102,163Pm,7.64E+3,4.00E+2,-8.88E+3,6.40E+2,-9.90E+3,6.40E+2,8.04E+3,2.00,1.24E-2,2.00
61,103,164Pm,9.56E+3,4.00E+2,,,,,8.01E+3,2.00,-1.19,2.00
62,67,129Sm,,,1.08E+4,5.83E+2,9.82E+3,5.83E+2,8.02E+3,4.00,-1.82E+1,4.00
62,68,130Sm,-1.41E+4,6.71E+2,7.77E+3,4.47E+2,6.74E+3,4.47E+2,8.06E+3,3.00,-1.50E+1,3.00
62,69,131Sm,-1.08E+4,5.65E+2,9.49E+3,4.47E+2,8.46E+3,4.47E+2,8.08E+3,3.00,-9.47,3.00
62,77,139Sm,-6.98E+3,1.70E+1,5.12E+3,1.74E+1,4.09E+3,1.74E+1,8.24E+3,7.83E-2,5.46,7.83E-2
62,77,139Sm,-6.98E+3,1.70E+1,5.12E+3,1.74E+1,4.09E+3,1.74E+1,8.24E+3,7.83E-2,5.46,7.83E-2
62,78,140Sm,-8.47E+3,5.00E+1,2.75E+3,2.72E+1,1.73E+3,2.72E+1,8.26E+3,8.93E-2,3.11,8.93E-2
62,79,141Sm,-6.00E+3,1.42E+1,4.58E+3,1.63E+1,3.56E+3,1.63E+1,8.26E+3,6.05E-2,2.64,6.05E-2
62,79,141Sm,-6.00E+3,1.42E+1,4.58E+3,1.63E+1,3.56E+3,1.63E+1,8.26E+3,6.05E-2,2.64,6.05E-2
62,70,132Sm,-1.29E+4,5.00E+2,6.48E+3,3.35E+2,5.46E+3,3.35E+2,8.12E+3,2.00,-7.54,2.00
62,71,133Sm,-9.99E+3,4.22E+2,8.17E+3,3.02E+2,7.15E+3,3.02E+2,8.13E+3,2.00,-2.61,2.00
62,71,133Sm,-9.99E+3,4.22E+2,8.17E+3,3.02E+2,7.15E+3,3.02E+2,8.13E+3,2.00,-2.61,2.00
62,72,134Sm,-1.15E+4,3.58E+2,5.38E+3,2.00E+2,4.36E+3,2.00E+2,8.16E+3,1.00,5.32E-1,1.00
62,73,135Sm,-8.70E+3,2.49E+2,7.20E+3,1.75E+2,6.18E+3,1.75E+2,8.17E+3,1.14,4.63,1.14
62,74,136Sm,-1.05E+4,1.96E+2,4.35E+3,7.01E+1,3.33E+3,7.01E+1,8.20E+3,9.19E-2,4.17,9.19E-2
62,75,137Sm,-7.84E+3,2.89E+1,6.08E+3,3.14E+1,5.05E+3,3.14E+1,8.21E+3,2.08E-1,6.49,2.08E-1
62,76,138Sm,-9.74E+3,3.03E+1,3.41E+3,1.65E+1,2.39E+3,1.65E+1,8.23E+3,8.56E-2,5.03,8.56E-2
62,88,150Sm,-2.25E+3,6.18,-3.45E+3,2.00E+1,-4.47E+3,2.00E+1,8.26E+3,7.40E-3,1.44E+1,7.40E-3
62,89,151Sm,7.66E+1,5.37E-1,-1.19E+3,4.47,-2.21E+3,4.47,8.24E+3,7.40E-3,1.79E+1,7.40E-3
62,80,142Sm,-7.67E+3,3.00E+1,2.15E+3,2.36E+1,1.13E+3,2.36E+1,8.28E+3,1.31E-2,-3.23,1.31E-2
62,81,143Sm,-5.27E+3,1.13E+1,3.44E+3,3.56,2.42E+3,3.56,8.28E+3,1.91E-2,-7.62,1.91E-2
62,81,143Sm,-5.27E+3,1.13E+1,3.44E+3,3.56,2.42E+3,3.56,8.28E+3,1.91E-2,-7.62,1.91E-2
62,82,144Sm,-6.34E+3,1.08E+1,-5.49E+2,2.66,-1.57E+3,2.66,8.30E+3,1.01E-2,-1.27E+1,1.01E-2
62,83,145Sm,-2.65E+3,2.72,6.16E+2,2.53,-4.05E+2,2.53,8.29E+3,1.02E-2,-7.62,1.02E-2
62,84,146Sm,-3.87E+3,5.86,-1.54E+3,3.00,-2.56E+3,3.00,8.29E+3,2.08E-2,-1.65,2.08E-2
62,85,147Sm,-1.72E+3,2.28,-2.24E+2,2.94E-1,-1.24E+3,2.94E-1,8.28E+3,8.60E-3,2.96,8.60E-3
62,86,148Sm,-3.03E+3,9.96,-2.47E+3,5.64,-3.49E+3,5.64,8.27E+3,8.40E-3,7.44,8.40E-3
62,87,149Sm,-6.94E+2,3.78,-1.07E+3,1.87,-2.09E+3,1.87,8.26E+3,7.80E-3,1.20E+1,7.80E-3
62,102,164Sm,5.30E+3,4.59,-9.56E+3,4.00E+2,-1.05E+4,4.00E+2,8.06E+3,2.50E-2,1.34,2.50E-2
62,101,163Sm,5.97E+3,7.41,-7.64E+3,4.00E+2,-8.66E+3,4.00E+2,8.08E+3,4.51E-2,-4.16E-2,4.51E-2
62,100,162Sm,4.34E+3,3.76,-8.33E+3,3.00E+2,-9.36E+3,3.00E+2,8.10E+3,2.18E-2,2.53,2.18E-2
62,106,168Sm,7.61E+3,5.00E+2,,,,,7.97E+3,2.00,7.37,2.00
62,105,167Sm,8.44E+3,6.40E+2,,,,,7.99E+3,3.00,4.40,3.00
62,104,166Sm,6.29E+3,4.12E+2,,,,,8.02E+3,2.00,2.12,2.00
62,103,165Sm,7.21E+3,4.00E+2,-8.84E+3,6.40E+2,-9.86E+3,6.40E+2,8.04E+3,2.00,7.09E-1,2.00
62,99,161Sm,5.11E+3,1.24E+1,-6.58E+3,1.13E+1,-7.60E+3,1.13E+1,8.12E+3,4.23E-2,1.34,4.23E-2
62,90,152Sm,-1.87E+3,6.85E-1,-3.50E+3,2.58E+1,-4.53E+3,2.58E+1,8.24E+3,6.70E-3,1.55E+1,6.70E-3
62,91,153Sm,8.07E+2,7.06E-1,-1.91E+3,9.08,-2.93E+3,9.08,8.22E+3,6.70E-3,1.45E+1,6.70E-3
62,92,154Sm,-7.17E+2,1.10,-4.18E+3,2.50E+1,-5.21E+3,2.50E+1,8.22E+3,8.50E-3,1.13E+1,8.50E-3
62,93,155Sm,1.62E+3,1.20,-3.25E+3,4.90,-4.27E+3,4.90,8.21E+3,8.60E-3,8.17,8.60E-3
62,94,156Sm,7.22E+2,7.90,-5.19E+3,8.60,-6.21E+3,8.60,8.20E+3,5.46E-2,7.17,5.46E-2
62,95,157Sm,2.78E+3,6.11,-4.38E+3,8.26,-5.40E+3,8.26,8.18E+3,2.82E-2,4.27,2.82E-2
62,96,158Sm,2.01E+3,5.11,-6.14E+3,4.86,-7.16E+3,4.86,8.17E+3,3.03E-2,4.63,3.03E-2
62,97,159Sm,3.83E+3,7.32,-5.65E+3,1.16E+1,-6.67E+3,1.16E+1,8.15E+3,3.73E-2,1.73,3.73E-2
62,98,160Sm,3.26E+3,2.15,-7.33E+3,2.83,-8.36E+3,2.83,8.14E+3,1.22E-2,3.19,1.22E-2
63,107,170Eu,9.98E+3,7.07E+2,,,,,7.96E+3,3.00,5.77,3.00
63,106,169Eu,8.23E+3,6.40E+2,,,,,7.99E+3,3.00,5.91,3.00
