z,n,name,spinAndParity,massExcess(keV),massExcessUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,pairingGap,pairingGapUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty
57,88,145La,,,,,,,,7.99E+2,1.08E+1,-7.82E+2,1.53E+1,7.69E+1,1.09E+1
57,89,146La,,,,,,,,5.35E+2,8.23,-1.13E+3,7.26,-1.86E+2,5.84
57,89,146La,,,,,,,,5.35E+2,8.23,-1.13E+3,7.26,-1.86E+2,5.84
57,93,150La,,,,,,,,4.53E+2,2.39E+2,-3.42E+3,3.83,-2.73E+2,5.00E+1
57,94,151La,,,,,,,,5.26E+2,3.43E+2,-3.81E+3,4.35E+2,-3.57E+2,3.08E+2
57,95,152La,,,,,,,,4.35E+2,3.42E+2,-4.80E+3,3.00E+2,1.10E+2,2.12E+2
57,96,153La,,,,,,,,7.14E+2,3.06E+2,-5.18E+3,5.00E+2,1.92E+2,2.91E+2
57,90,147La,,,,,,,,7.13E+2,1.23E+1,-1.42E+3,1.31E+1,-5.49E+2,1.02E+1
57,91,148La,,,,,,,,7.40E+2,1.01E+2,-1.86E+3,2.80E+1,-8.05E+2,1.94E+1
57,92,149La,,,,,,,,7.09E+2,1.41E+2,-2.59E+3,2.00E+2,-5.91E+2,1.41E+2
57,97,154La,,,,,,,,5.12E+2,3.53E+2,-5.78E+3,5.00E+2,3.70E+2,3.27E+2
57,98,155La,,,,,,,,6.47E+2,4.31E+2,-6.07E+3,6.40E+2,4.05E+2,4.26E+2
57,99,156La,,,,,,,,4.40E+2,4.33E+2,-6.34E+3,6.40E+2,3.86E+2,4.26E+2
57,100,157La,,,,,,,,,,,,,
58,100,158Ce,,,,,,,,8.17E+2,4.74E+2,-6.04E+3,6.40E+2,5.75E+2,4.26E+2
58,63,121Ce,,,,,,,,1.12E+3,3.96E+2,2.34E+3,4.72E+2,-7.40E+1,3.68E+2
58,64,122Ce,,,,,,,,1.37E+3,3.39E+2,1.90E+3,4.48E+2,8.40E+1,3.35E+2
58,69,127Ce,,,,,,,,1.19E+3,2.84E+1,1.25E+3,3.13E+1,2.67E+2,2.53E+1
58,69,127Ce,,,,,,,,1.19E+3,2.84E+1,1.25E+3,3.13E+1,2.67E+2,2.53E+1
58,65,123Ce,,,,,,,,1.07E+3,2.81E+2,1.87E+3,3.59E+2,3.60E+1,2.77E+2
58,66,124Ce,,,,,,,,1.40E+3,2.48E+2,1.54E+3,4.23E+2,2.06E+2,2.77E+2
58,67,125Ce,,,,,,,,1.16E+3,2.16E+2,1.66E+3,2.42E+2,9.80E+1,1.85E+2
58,67,125Ce,,,,,,,,1.16E+3,2.16E+2,1.66E+3,2.42E+2,9.80E+1,1.85E+2
58,68,126Ce,,,,,,,,1.47E+3,1.27E+2,1.36E+3,3.95E+1,2.17E+2,2.79E+1
58,72,130Ce,,,,,,,,1.42E+3,2.92E+1,8.22E+2,3.06E+1,2.64E+2,2.15E+1
58,73,131Ce,,,,,,,,1.23E+3,2.89E+1,6.84E+2,3.47E+1,1.92E+2,2.57E+1
58,73,131Ce,,,,,,,,1.23E+3,2.89E+1,6.84E+2,3.47E+1,1.92E+2,2.57E+1
58,74,132Ce,,,,,,,,1.40E+3,2.33E+1,4.75E+2,2.04E+1,1.84E+2,1.56E+1
58,75,133Ce,,,,,,,,1.23E+3,1.84E+1,2.17E+2,1.94E+1,9.58E+1,1.39E+1
58,75,133Ce,,,,,,,,1.23E+3,1.84E+1,2.17E+2,1.94E+1,9.58E+1,1.39E+1
58,70,128Ce,,,,,,,,1.40E+3,2.81E+1,1.13E+3,3.06E+1,2.76E+2,2.39E+1
58,71,129Ce,,,,,,,,1.19E+3,2.79E+1,9.56E+2,3.00E+1,2.86E+2,3.10E+1
58,76,134Ce,,,,,,,,1.31E+3,1.73E+1,-1.03,2.03E+1,1.95E+2,1.55E+1
58,77,135Ce,,,,,,,,1.05E+3,1.25E+1,-3.62E+2,1.02E+1,2.68E+2,1.55E+1
58,77,135Ce,,,,,,,,1.05E+3,1.25E+1,-3.62E+2,1.02E+1,2.68E+2,1.55E+1
58,78,136Ce,,,,,,,,1.24E+3,5.13,-4.98E+2,1.10,1.62E+2,1.72
58,79,137Ce,,,,,,,,1.11E+3,3.89E-1,-7.90E+2,1.05,4.62E+1,1.68
58,79,137Ce,,,,,,,,1.11E+3,3.89E-1,-7.90E+2,1.05,4.62E+1,1.68
58,83,141Ce,,,,,,,,8.72E+2,1.66,-1.34E+2,1.33,8.54E+2,9.93E-1
58,84,142Ce,,,,,,,,1.01E+3,2.21,1.30E+3,2.45,-6.09E+1,1.65
58,85,143Ce,,,,,,,,8.76E+2,2.54,8.82E+2,2.45,7.60E+1,1.65
58,86,144Ce,,,,,,,,1.09E+3,1.71E+1,4.11E+2,8.38,9.39E+1,4.46
58,80,138Ce,,,,,,,,1.12E+3,1.11,-1.04E+3,4.61E-1,1.15E+2,7.14E-1
58,80,138Ce,,,,,,,,1.12E+3,1.11,-1.04E+3,4.61E-1,1.15E+2,7.14E-1
58,81,139Ce,,,,,,,,8.62E+2,1.63,-1.53E+3,2.10,1.03E+3,1.60
58,81,139Ce,,,,,,,,8.62E+2,1.63,-1.53E+3,2.10,1.03E+3,1.60
58,82,140Ce,,,,,,,,1.87E+3,1.54,-1.61E+3,1.33,1.75E+3,9.86E-1
58,87,145Ce,,,,,,,,9.61E+2,2.51E+1,2.40E+2,3.43E+1,1.30E+1,2.41E+1
58,88,146Ce,,,,,,,,1.08E+3,2.03E+1,-2.08E+2,1.58E+1,-1.35E+2,1.07E+1
58,89,147Ce,,,,,,,,9.98E+2,1.10E+1,-5.01E+2,1.09E+1,-4.26E+2,6.96
58,94,152Ce,,,,,,,,9.12E+2,1.32E+2,-3.86E+3,2.00E+2,1.06E+2,1.41E+2
58,95,153Ce,,,,,,,,6.66E+2,1.53E+2,-4.50E+3,2.00E+2,2.47E+2,1.41E+2
58,96,154Ce,,,,,,,,8.70E+2,2.04E+2,-4.75E+3,2.00E+2,3.57E+2,1.41E+2
58,97,155Ce,,,,,,,,7.51E+2,2.79E+2,-5.26E+3,5.00E+2,4.48E+2,2.91E+2
58,90,148Ce,,,,,,,,1.05E+3,1.03E+1,-1.05E+3,1.32E+1,-5.59E+2,1.50E+1
58,91,149Ce,,,,,,,,9.52E+2,1.08E+1,-1.57E+3,1.32E+1,-7.53E+2,8.50
58,92,150Ce,,,,,,,,8.99E+2,1.31E+1,-2.40E+3,1.18E+1,-3.76E+2,8.33
58,93,151Ce,,,,,,,,7.02E+2,7.72E+1,-3.38E+3,2.65E+1,-4.88E+1,1.65E+1
58,98,156Ce,,,,,,,,9.61E+2,3.57E+2,-5.63E+3,5.00E+2,6.52E+2,2.92E+2
58,99,157Ce,,,,,,,,6.80E+2,4.37E+2,-5.88E+3,5.65E+2,5.80E+2,3.99E+2
59,100,159Pr,,,,,,,,5.02E+2,4.05E+2,-5.26E+3,5.65E+2,3.24E+2,3.99E+2
59,101,160Pr,,,,,,,,3.74E+2,4.07E+2,-5.57E+3,5.65E+2,4.94E+2,3.99E+2
59,102,161Pr,,,,,,,,,,-5.84E+3,5.83E+2,6.19E+2,4.58E+2
59,85,144Pr,,,,,,,,5.96E+2,4.15,1.13E+3,2.75,1.61E+2,3.36
59,85,144Pr,,,,,,,,5.96E+2,4.15,1.13E+3,2.75,1.61E+2,3.36
59,84,143Pr,,,,,,,,7.99E+2,2.01,1.72E+3,1.88,-6.39E+1,1.19
59,87,146Pr,,,,,,,,8.61E+2,2.58E+1,9.25E+2,3.49E+1,-1.37E+2,2.64E+1
59,86,145Pr,,,,,,,,9.13E+2,1.79E+1,8.78E+2,8.18,1.28E+2,5.49
59,81,140Pr,,,,,,,,7.35E+2,4.77,-1.07E+3,5.35E+1,9.59E+2,2.69E+1
59,80,139Pr,,,,,,,,9.21E+2,6.42,-6.10E+2,1.01E+1,2.65E+1,5.57
59,83,142Pr,,,,,,,,7.55E+2,1.58,3.02E+2,1.55,8.02E+2,2.29
59,83,142Pr,,,,,,,,7.55E+2,1.58,3.02E+2,1.55,8.02E+2,2.29
59,82,141Pr,,,,,,,,1.77E+3,3.33,-1.29E+3,2.22,1.81E+3,1.81
59,89,148Pr,,,,,,,,7.06E+2,1.41E+1,-1.10E+2,1.98E+1,-5.16E+2,1.79E+1
59,89,148Pr,,,,,,,,7.06E+2,1.41E+1,-1.10E+2,1.98E+1,-5.16E+2,1.79E+1
59,88,147Pr,,,,,,,,8.39E+2,2.18E+1,3.02E+2,1.74E+1,-3.34E+2,1.20E+1
59,90,149Pr,,,,,,,,6.21E+2,1.12E+1,-6.28E+2,1.57E+1,-7.02E+2,1.03E+1
59,96,155Pr,,,,,,,,7.60E+2,5.14E+1,-4.52E+3,4.35E+2,4.82E+2,2.18E+2
59,95,154Pr,,,,,,,,6.32E+2,7.14E+1,-3.97E+3,1.00E+2,1.50E+2,7.07E+1
59,98,157Pr,,,,,,,,6.04E+2,1.58E+2,-4.80E+3,3.00E+2,3.61E+2,1.50E+2
59,97,156Pr,,,,,,,,4.75E+2,8.77,-4.58E+3,3.00E+2,3.56E+2,1.50E+2
59,92,151Pr,,,,,,,,7.50E+2,1.31E+1,-2.52E+3,1.58E+1,-2.95E+1,1.01E+1
59,91,150Pr,,,,,,,,6.09E+2,9.95,-1.50E+3,9.16,-4.43E+2,1.40E+1
59,94,153Pr,,,,,,,,7.59E+2,5.15E+1,-3.77E+3,2.00E+2,3.09E+2,1.00E+2
59,93,152Pr,,,,,,,,4.16E+2,1.55E+1,-3.47E+3,2.68E+1,3.20E+2,1.63E+1
59,99,158Pr,,,,,,,,3.56E+2,3.26E+2,-5.04E+3,4.24E+2,3.65E+2,2.99E+2
59,62,121Pr,,,,,,,,,,2.29E+3,5.39E+2,,
59,65,124Pr,,,,,,,,9.61E+2,3.44E+2,1.99E+3,5.00E+2,2.56E+2,3.53E+2
59,67,126Pr,,,,,,,,9.69E+2,2.52E+2,1.79E+3,3.57E+2,3.17E+2,2.26E+2
59,66,125Pr,,,,,,,,1.34E+3,2.85E+2,1.69E+3,4.24E+2,3.85E+2,2.99E+2
59,69,128Pr,,,,,,,,8.22E+2,1.29E+2,1.50E+3,6.40E+1,3.87E+2,8.24E+1
59,68,127Pr,,,,,,,,1.18E+3,2.19E+2,1.68E+3,2.77E+2,3.32E+2,1.96E+2
59,74,133Pr,,,,,,,,1.05E+3,1.97E+1,9.61E+2,2.47E+1,2.39E+2,1.53E+1
59,74,133Pr,,,,,,,,1.05E+3,1.97E+1,9.61E+2,2.47E+1,2.39E+2,1.53E+1
59,73,132Pr,,,,,,,,8.91E+2,3.17E+1,9.73E+2,6.16E+1,3.29E+2,4.84E+1
59,76,135Pr,,,,,,,,1.00E+3,1.43E+1,4.08E+2,3.03E+1,3.00E+2,1.76E+1
59,75,134Pr,,,,,,,,9.08E+2,1.67E+1,6.74E+2,3.29E+1,2.57E+2,2.02E+1
59,75,134Pr,,,,,,,,9.08E+2,1.67E+1,6.74E+2,3.29E+1,2.57E+2,2.02E+1
59,70,129Pr,,,,,,,,1.02E+3,4.12E+1,1.56E+3,3.95E+1,1.89E+2,3.52E+1
59,72,131Pr,,,,,,,,1.09E+3,4.84E+1,1.17E+3,5.37E+1,3.21E+2,5.46E+1
59,72,131Pr,,,,,,,,1.09E+3,4.84E+1,1.17E+3,5.37E+1,3.21E+2,5.46E+1
59,71,130Pr,,,,,,,,8.61E+2,5.32E+1,1.37E+3,1.11E+2,3.06E+2,6.74E+1
59,71,130Pr,,,,,,,,8.61E+2,5.32E+1,1.37E+3,1.11E+2,3.06E+2,6.74E+1
59,78,137Pr,,,,,,,,9.67E+2,9.53,-1.32E+2,2.91E+1,1.93E+2,1.66E+1
59,77,136Pr,,,,,,,,7.28E+2,1.08E+1,-4.17E+1,3.81E+1,3.72E+2,2.32E+1
59,79,138Pr,,,,,,,,8.86E+2,8.37,-3.35E+2,2.23E+1,-5.12E+1,1.69E+1
59,79,138Pr,,,,,,,,8.86E+2,8.37,-3.35E+2,2.23E+1,-5.12E+1,1.69E+1
60,103,163Nd,,,,,,,,,,-5.16E+3,7.07E+2,7.44E+2,4.99E+2
60,101,161Nd,,,,,,,,6.17E+2,2.80E+2,-4.72E+3,5.65E+2,5.10E+2,3.99E+2
60,102,162Nd,,,,,,,,8.35E+2,3.71E+2,-4.89E+3,5.65E+2,5.15E+2,3.99E+2
60,100,160Nd,,,,,,,,7.52E+2,1.65E+2,-4.33E+3,3.04E+2,3.52E+2,1.53E+2
60,74,134Nd,,,,,,,,1.37E+3,2.65E+1,1.35E+3,3.03E+1,1.86E+2,1.73E+1
60,73,133Nd,,,,,,,,1.20E+3,3.55E+1,1.53E+3,5.43E+1,1.92E+2,3.85E+1
60,73,133Nd,,,,,,,,1.20E+3,3.55E+1,1.53E+3,5.43E+1,1.92E+2,3.85E+1
60,72,132Nd,,,,,,,,1.37E+3,3.20E+1,1.68E+3,3.69E+1,2.53E+2,2.29E+1
60,71,131Nd,,,,,,,,1.24E+3,2.68E+1,1.78E+3,3.98E+1,3.49E+2,8.10E+1
60,70,130Nd,,,,,,,,1.52E+3,1.31E+2,1.79E+3,3.95E+1,4.97E+2,1.00E+2
60,79,139Nd,,,,,,,,1.12E+3,2.03E+1,1.74E+2,2.93E+1,-4.97E+1,2.01E+1
60,79,139Nd,,,,,,,,1.12E+3,2.03E+1,1.74E+2,2.93E+1,-4.97E+1,2.01E+1
60,78,138Nd,,,,,,,,1.21E+3,1.70E+1,3.90E+2,2.34E+1,1.09E+2,1.31E+1
60,77,137Nd,,,,,,,,1.02E+3,1.17E+1,4.09E+2,2.01E+1,4.07E+2,1.24E+1
60,77,137Nd,,,,,,,,1.02E+3,1.17E+1,4.09E+2,2.01E+1,4.07E+2,1.24E+1
60,76,136Nd,,,,,,,,1.30E+3,1.39E+1,8.44E+2,2.35E+1,2.36E+2,1.45E+1
60,75,135Nd,,,,,,,,1.20E+3,1.58E+1,1.06E+3,3.79E+1,1.69E+2,2.19E+1
60,75,135Nd,,,,,,,,1.20E+3,1.58E+1,1.06E+3,3.79E+1,1.69E+2,2.19E+1
60,85,145Nd,,,,,,,,9.04E+2,1.26,1.57E+3,1.46,1.48E+2,8.80E-1
60,84,144Nd,,,,,,,,1.03E+3,1.26,1.90E+3,1.45,4.28E+1,7.59E-1
60,83,143Nd,,,,,,,,8.46E+2,1.25,5.30E+2,2.41,8.90E+2,1.23
60,82,142Nd,,,,,,,,1.85E+3,1.92,-8.09E+2,1.35,1.66E+3,1.56
60,81,141Nd,,,,,,,,9.12E+2,2.85,-6.97E+2,3.20,9.06E+2,2.27
60,81,141Nd,,,,,,,,9.12E+2,2.85,-6.97E+2,3.20,9.06E+2,2.27
60,80,140Nd,,,,,,,,1.15E+3,1.40E+1,-1.73E+2,3.27,2.01E+1,2.42
60,89,149Nd,,,,,,,,1.16E+3,1.86,2.66E+2,3.39E+1,-4.38E+2,1.69E+1
60,88,148Nd,,,,,,,,1.14E+3,1.89,5.98E+2,3.03,-1.89E+2,1.79
60,87,147Nd,,,,,,,,1.02E+3,1.50,1.03E+3,2.21,5.53E+1,1.20
60,86,146Nd,,,,,,,,1.13E+3,1.27,1.18E+3,2.21,1.33E+2,1.20
60,96,156Nd,,,,,,,,8.13E+2,4.79,-3.64E+3,2.00E+2,5.95E+2,1.00E+2
60,95,155Nd,,,,,,,,6.07E+2,6.53,-3.48E+3,1.99E+1,5.67E+2,1.13E+1
60,94,154Nd,,,,,,,,7.72E+2,4.83,-3.15E+3,1.17E+1,5.30E+2,6.35
60,93,153Nd,,,,,,,,5.34E+2,1.24E+1,-3.08E+3,1.06E+1,6.56E+2,5.90
60,92,152Nd,,,,,,,,1.01E+3,1.73E+1,-2.17E+3,2.69E+1,2.70E+2,1.86E+1
60,91,151Nd,,,,,,,,9.71E+2,1.22E+1,-1.35E+3,8.64,-1.59E+2,4.35
60,90,150Nd,,,,,,,,1.02E+3,1.41,-4.78E+2,1.47E+1,-3.60E+2,7.37
60,99,159Nd,,,,,,,,5.55E+2,3.14E+1,-4.36E+3,3.01E+2,5.34E+2,1.51E+2
60,98,158Nd,,,,,,,,7.26E+2,1.49E+1,-4.04E+3,2.00E+2,5.35E+2,1.00E+2
60,97,157Nd,,,,,,,,5.24E+2,1.77,-4.00E+3,2.00E+2,7.03E+2,1.00E+2
60,69,129Nd,,,,,,,,1.15E+3,2.23E+2,1.85E+3,2.81E+2,4.30E+2,2.28E+2
60,69,129Nd,,,,,,,,1.15E+3,2.23E+2,1.85E+3,2.81E+2,4.30E+2,2.28E+2
60,68,128Nd,,,,,,,,1.31E+3,2.56E+2,1.96E+3,3.59E+2,5.02E+2,2.54E+2
60,67,127Nd,,,,,,,,9.80E+2,2.54E+2,1.95E+3,4.23E+2,6.27E+2,3.27E+2
60,66,126Nd,,,,,,,,1.35E+3,2.88E+2,2.06E+3,5.00E+2,5.93E+2,3.53E+2
60,65,125Nd,,,,,,,,1.03E+3,3.84E+2,2.19E+3,5.66E+2,5.60E+2,4.27E+2
61,69,130Pm,,,,,,,,9.99E+2,2.60E+2,2.42E+3,2.80E+2,4.07E+2,2.28E+2
61,68,129Pm,,,,,,,,1.39E+3,2.58E+2,2.46E+3,4.24E+2,5.27E+2,2.99E+2
61,67,128Pm,,,,,,,,1.05E+3,2.92E+2,2.50E+3,5.00E+2,5.44E+2,3.53E+2
61,75,136Pm,,,,,,,,8.97E+2,6.43E+1,1.63E+3,7.48E+1,6.32E+1,5.70E+1
61,75,136Pm,,,,,,,,8.97E+2,6.43E+1,1.63E+3,7.48E+1,6.32E+1,5.70E+1
61,74,135Pm,,,,,,,,1.09E+3,7.11E+1,1.81E+3,9.52E+1,2.12E+2,6.34E+1
61,74,135Pm,,,,,,,,1.09E+3,7.11E+1,1.81E+3,9.52E+1,2.12E+2,6.34E+1
61,73,134Pm,,,,,,,,9.71E+2,5.68E+1,1.98E+3,7.67E+1,3.01E+2,4.58E+1
61,73,134Pm,,,,,,,,9.71E+2,5.68E+1,1.98E+3,7.67E+1,3.01E+2,4.58E+1
61,72,133Pm,,,,,,,,1.18E+3,7.78E+1,1.94E+3,5.84E+1,4.47E+2,3.86E+1
61,72,133Pm,,,,,,,,1.18E+3,7.78E+1,1.94E+3,5.84E+1,4.47E+2,3.86E+1
61,71,132Pm,,,,,,,,8.97E+2,1.62E+2,2.27E+3,1.52E+2,3.40E+2,1.44E+2
61,70,131Pm,,,,,,,,1.15E+3,2.35E+2,2.34E+3,2.80E+2,4.25E+2,1.97E+2
61,79,140Pm,,,,,,,,7.99E+2,1.97E+1,7.03E+2,2.67E+1,-2.67E+2,1.88E+1
61,79,140Pm,,,,,,,,7.99E+2,1.97E+1,7.03E+2,2.67E+1,-2.67E+2,1.88E+1
61,78,139Pm,,,,,,,,9.37E+2,1.65E+1,1.00E+3,1.80E+1,-8.75E+1,1.25E+1
61,78,139Pm,,,,,,,,9.37E+2,1.65E+1,1.00E+3,1.80E+1,-8.75E+1,1.25E+1
61,77,138Pm,,,,,,,,8.72E+2,1.24E+1,1.18E+3,2.33E+1,-4.09,1.99E+1
61,76,137Pm,,,,,,,,1.03E+3,3.62E+1,1.43E+3,1.80E+1,1.41E+2,1.28E+1
61,76,137Pm,,,,,,,,1.03E+3,3.62E+1,1.43E+3,1.80E+1,1.41E+2,1.28E+1
61,86,147Pm,,,,,,,,8.81E+2,3.67,1.60E+3,1.46,1.81E+2,9.07E-1
61,85,146Pm,,,,,,,,7.00E+2,3.39,1.90E+3,4.32,1.64E+2,4.09
61,84,145Pm,,,,,,,,8.32E+2,3.25,2.32E+3,2.86,3.95E+1,2.69
61,83,144Pm,,,,,,,,6.97E+2,2.89,8.45E+2,6.71,9.24E+2,6.11
61,82,143Pm,,,,,,,,1.68E+3,1.20E+1,-5.56E+2,4.67,1.77E+3,2.80
61,81,142Pm,,,,,,,,6.00E+2,1.81E+1,-4.37E+2,2.56E+1,1.01E+3,1.76E+1
61,80,141Pm,,,,,,,,8.46E+2,1.95E+1,2.53E+2,1.61E+1,-7.37E+1,1.07E+1
61,89,150Pm,,,,,,,,1.12E+3,1.43E+1,6.51E+2,3.97E+1,-6.08E+2,2.22E+1
61,88,149Pm,,,,,,,,8.32E+2,1.05E+1,1.13E+3,7.33,-4.32E+2,3.79
61,87,148Pm,,,,,,,,6.87E+2,4.21,1.45E+3,6.14,4.63E+1,4.15
61,87,148Pm,,,,,,,,6.87E+2,4.21,1.45E+3,6.14,4.63E+1,4.15
61,97,158Pm,,,,,,,,3.19E+2,6.14,-3.67E+3,1.00E+2,8.14E+2,5.00E+1
61,96,157Pm,,,,,,,,6.60E+2,5.00,-3.15E+3,1.37E+1,6.17E+2,9.31
61,95,156Pm,,,,,,,,4.51E+2,4.30,-2.83E+3,1.85E+1,5.41E+2,9.31
61,95,156Pm,,,,,,,,4.51E+2,4.30,-2.83E+3,1.85E+1,5.41E+2,9.31
61,94,155Pm,,,,,,,,7.23E+2,1.29E+1,-2.58E+3,1.25E+1,5.28E+2,7.04
61,93,154Pm,,,,,,,,5.27E+2,1.84E+1,-2.39E+3,2.65E+1,4.81E+2,1.82E+1
61,93,154Pm,,,,,,,,5.27E+2,1.84E+1,-2.39E+3,2.65E+1,4.81E+2,1.82E+1
61,92,153Pm,,,,,,,,8.87E+2,1.91E+1,-2.03E+3,1.34E+1,3.98E+2,8.35
61,91,152Pm,,,,,,,,7.62E+2,1.90E+1,-1.14E+3,2.99E+1,-5.46E+1,1.98E+1
61,91,152Pm,,,,,,,,7.62E+2,1.90E+1,-1.14E+3,2.99E+1,-5.46E+1,1.98E+1
61,91,152Pm,,,,,,,,7.62E+2,1.90E+1,-1.14E+3,2.99E+1,-5.46E+1,1.98E+1
61,90,151Pm,,,,,,,,9.60E+2,1.66E+1,-3.67E+2,1.64E+1,-2.44E+2,8.54
61,99,160Pm,,,,,,,,4.25E+2,6.90,-3.87E+3,2.29,5.53E+2,1.85
61,99,160Pm,,,,,,,,4.25E+2,6.90,-3.87E+3,2.29,5.53E+2,1.85
61,98,159Pm,,,,,,,,5.53E+2,7.18,-3.56E+3,1.99E+1,5.59E+2,1.11E+1
61,104,165Pm,,,,,,,,,,-4.60E+3,7.07E+2,5.95E+2,4.99E+2
61,100,161Pm,,,,,,,,6.13E+2,1.62E+2,-4.07E+3,9.57,5.04E+2,7.07
61,101,162Pm,,,,,,,,4.63E+2,2.81E+2,-4.31E+3,4.24E+2,5.90E+2,2.64E+2
61,102,163Pm,,,,,,,,7.57E+2,3.26E+2,-4.61E+3,5.65E+2,6.90E+2,3.99E+2
61,103,164Pm,,,,,,,,4.67E+2,3.76E+2,-4.58E+3,5.65E+2,6.35E+2,3.99E+2
62,67,129Sm,,,,,,,,1.13E+3,4.86E+2,3.31E+3,6.40E+2,2.65E+2,4.76E+2
62,68,130Sm,,,,,,,,1.39E+3,4.25E+2,3.25E+3,5.00E+2,2.45E+2,3.77E+2
62,69,131Sm,,,,,,,,1.14E+3,3.64E+2,3.20E+3,5.00E+2,2.00E+2,3.77E+2
62,77,139Sm,,,,,,,,1.09E+3,1.15E+1,1.40E+3,2.20E+1,1.57E+2,1.00E+2
62,77,139Sm,,,,,,,,1.09E+3,1.15E+1,1.40E+3,2.20E+1,1.57E+2,1.00E+2
62,78,140Sm,,,,,,,,1.29E+3,1.12E+1,1.31E+3,1.71E+1,-2.34E+1,1.75E+1
62,79,141Sm,,,,,,,,1.28E+3,8.73,1.22E+3,1.45E+1,-3.21E+2,1.29E+1
62,79,141Sm,,,,,,,,1.28E+3,8.73,1.22E+3,1.45E+1,-3.21E+2,1.29E+1
62,70,132Sm,,,,,,,,1.42E+3,3.01E+2,2.96E+3,3.61E+2,3.29E+2,2.78E+2
62,71,133Sm,,,,,,,,1.02E+3,2.39E+2,2.71E+3,3.60E+2,4.37E+2,2.77E+2
62,71,133Sm,,,,,,,,1.02E+3,2.39E+2,2.71E+3,3.60E+2,4.37E+2,2.77E+2
62,72,134Sm,,,,,,,,1.27E+3,1.80E+2,2.79E+3,1.98E+2,2.48E+2,1.71E+2
62,73,135Sm,,,,,,,,1.21E+3,1.28E+2,2.48E+3,1.57E+2,1.57E+2,1.47E+2
62,74,136Sm,,,,,,,,1.38E+3,7.91E+1,2.19E+3,2.72E+1,2.06E+2,2.04E+1
62,75,137Sm,,,,,,,,1.16E+3,2.19E+1,1.91E+3,5.46E+1,2.13E+2,3.23E+1
62,76,138Sm,,,,,,,,1.31E+3,1.74E+1,1.72E+3,1.67E+1,1.94E+2,1.73E+1
62,88,150Sm,,,,,,,,1.19E+3,1.12,1.44E+3,9.66E-1,-2.64E+2,5.83E-1
62,89,151Sm,,,,,,,,1.33E+3,1.09,1.14E+3,9.72E-1,-5.32E+2,5.90E-1
62,80,142Sm,,,,,,,,1.25E+3,4.66,6.10E+2,1.17E+1,-6.95E+1,6.20
62,81,143Sm,,,,,,,,9.56E+2,2.27,7.48E+1,2.76E+1,8.30E+2,1.38E+1
62,81,143Sm,,,,,,,,9.56E+2,2.27,7.48E+1,2.76E+1,8.30E+2,1.38E+1
62,82,144Sm,,,,,,,,1.88E+3,1.86,-1.33E+2,3.57,1.70E+3,1.78
62,83,145Sm,,,,,,,,8.29E+2,1.98,1.11E+3,3.23,9.92E+2,2.24
62,84,146Sm,,,,,,,,1.03E+3,2.36,2.52E+3,2.81,1.39E+2,3.32
62,85,147Sm,,,,,,,,9.00E+2,1.87,2.31E+3,4.97E-1,1.70E+2,1.47
62,86,148Sm,,,,,,,,1.13E+3,1.22,1.98E+3,4.45E-1,1.08E+2,5.58E-1
62,87,149Sm,,,,,,,,1.05E+3,1.17,1.87E+3,9.71E-1,-2.15E+1,6.08E-1
62,102,164Sm,,,,,,,,8.73E+2,1.65E+2,-3.62E+3,4.67E+1,4.88E+2,1.51E+2
62,101,163Sm,,,,,,,,5.52E+2,5.86,-3.30E+3,3.07E+1,3.49E+2,1.59E+1
62,100,162Sm,,,,,,,,7.43E+2,5.59,-2.96E+3,3.75,2.76E+2,2.69
62,106,168Sm,,,,,,,,,,,,,
62,105,167Sm,,,,,,,,8.09E+2,4.25E+2,-3.67E+3,7.07E+2,1.85E+2,4.99E+2
62,104,166Sm,,,,,,,,1.10E+3,3.80E+2,-3.86E+3,5.65E+2,5.20E+2,4.26E+2
62,103,165Sm,,,,,,,,7.01E+2,2.86E+2,-3.70E+3,5.65E+2,4.50E+2,3.99E+2
62,99,161Sm,,,,,,,,6.34E+2,5.22,-2.60E+3,7.14,1.62E+2,4.98
62,90,152Sm,,,,,,,,1.19E+3,1.04,2.20E+2,1.93,-2.08E+2,9.80E-1
62,91,153Sm,,,,,,,,1.04E+3,1.10,-6.09E+2,1.93,-3.96E+1,9.88E-1
62,92,154Sm,,,,,,,,1.07E+3,1.25,-1.20E+3,1.05,2.70E+2,6.90E-1
62,93,155Sm,,,,,,,,7.16E+2,4.41,-1.67E+3,1.08,4.38E+2,7.19E-1
62,94,156Sm,,,,,,,,9.26E+2,6.45,-1.63E+3,2.58E+1,3.14E+2,1.36E+1
62,95,157Sm,,,,,,,,6.28E+2,5.80,-1.77E+3,5.16,2.59E+2,3.48
62,96,158Sm,,,,,,,,8.09E+2,5.01,-2.09E+3,4.89,3.21E+2,3.95
62,97,159Sm,,,,,,,,5.34E+2,4.92,-2.34E+3,1.08E+1,3.71E+2,6.21
62,98,160Sm,,,,,,,,7.93E+2,4.72,-2.45E+3,2.35,2.85E+2,1.60
63,107,170Eu,,,,,,,,,,,,,
63,106,169Eu,,,,,,,,6.16E+2,4.70E+2,-3.41E+3,7.07E+2,7.05E+1,4.99E+2
