"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
9,28,0,F,,0,keV,0,"(4-)",,,,,,180,keV,40,,,,33403.796,keV,120.347,"n = 100",
9,29,0,F,,0,keV,0,,,3.3,ms,0.4,,,,,,,,40150.19,keV,525.363,"B-n = 60 40,B-2n?,B- = 100",
9,30,0,F,,0,keV,0,,,250,ns,,,,,,,,,48960,keV,500,"n?",
9,31,0,F,,0,keV,0,,,,,,,,,,,,,56843,keV,535,"B-n?,B-2n?,B- = 100",
10,15,0,Ne,,0,keV,,"(3/2-)",,,,,,0.59,MeV,0.23,,,,40215.374,keV,66.684,"2p = 100 ",
10,16,0,Ne,,0,keV,,"0+",,,,,,80,keV,,,,,23986.775,keV,20.48,"2p = 100",
10,17,0,Ne,,0,keV,,"1/2-",,109.1,ms,0.5,,,,,,,,16500.452,keV,0.354,"ECa = 3.51 0.16,EC+B+ = 100,ECp = 94.4 2.9",
10,18,0,Ne,,0,keV,,"0+",,1.66432,s,+0.00056-0.00055,,,,,,,,5317.617,keV,0.363,"EC+B+ = 100 ",
10,19,0,Ne,,0,keV,0,"1/2+",,17.2569,s,0.0019,,,,,,,,1752.054,keV,0.16,"EC+B+ = 100 ",
10,20,0,Ne,,0,keV,,"0+",,STABLE,,,,,,,,90.48,0.03,-7041.93217,keV,0.00154,,
10,21,0,Ne,,0,keV,,"3/2+",,STABLE,,,,,,,,0.27,0.01,-5731.776,keV,0.038,,
10,22,0,Ne,,0,keV,,"0+",,STABLE,,,,,,,,9.25,0.03,-8024.716,keV,0.018,,
10,23,0,Ne,,0,keV,,"5/2+",,37.148,s,0.032,,,,,,,,-5154.045,keV,0.104,"B- = 100 ",
10,24,0,Ne,,0,keV,,"0+",,3.38,m,0.02,,,,,,,,-5951.642,keV,0.513,"B- = 100 ",
10,25,0,Ne,,0,keV,,"1/2+",,602,ms,8,,,,,,,,-2035.503,keV,29.045,"B- = 100 ",
10,26,0,Ne,,0,keV,0,"0+",,196,ms,2,,,,,,,,481.114,keV,18.429,"B- = 100,B-n = 0.13 0.03",
10,27,0,Ne,,0,keV,0,"(3/2+)",,30.9,ms,1.1,,,,,,,,7050.91,keV,90.77,"B-n = 2 0.5,B-2n?,B- = 100",
10,28,0,Ne,,0,keV,0,"0+",,18.7,ms,0.2,,,,,,,,11299.738,keV,126.068,"B-n = 12 1,B-2n = 3.7 0.5,B- = 100",
10,29,0,Ne,,0,keV,0,"(3/2-)",,14,ms,0.5,,,,,,,,18399.803,keV,149.505,"B-n = 28 6,B-2n = 4 1,B- = 100",
10,30,0,Ne,,0,keV,0,"0+",,7.3,ms,0.3,,,,,,,,23280.12,keV,253.25,"B-n = 13 4,B-2n = 8.9 2.3,B- = 100",
10,31,0,Ne,,0,keV,0,"(3/2-)",,3.4,ms,0.8,,,,,,,,31181.594,keV,266.195,"B-n?,B-2n?,B- = 100 ",
10,32,0,Ne,,0,keV,0,"0+",,4.5,ms,0.7,,,,,,,,36999,keV,503,"B-n?,B-2n?,B- = 100",
10,33,0,Ne,,0,keV,,,,180,ns,,,,,,,,,46130,keV,600,"n?",
10,34,0,Ne,,0,keV,0,"0+",,,,,,,,,,,,52842,keV,513,"B-n?,B-2n?,B-?",
11,17,0,Na,,0,keV,,"(1/2+)",,,,,,,,,,,,34719.58,keV,59.616,"p = 100",
11,18,0,Na,,0,keV,,"(1)-",,,,,,0.2,MeV,,,,,25037.992,keV,93.881,"p ~ 100 ",
11,19,0,Na,,0,keV,,"(5/2+)",,,,,,40,keV,,,,,12929.384,keV,10.535,"p ~ 100 ",
11,20,0,Na,,0,keV,,"2+",,448,ms,2,,,,,,,,6850.489,keV,1.109,"ECa = 19.9 0.2,EC+B+ = 100",
11,21,0,Na,,0,keV,,"3/2+",,22.4548,s,0.0053,,,,,,,,-2184.857,keV,0.042,"EC+B+ = 100 ",
11,22,0,Na,,0,keV,,"3+",,2.6018751891980174,y,0.00045693667279887273,,,,,,,,-5181.391,keV,0.132,"EC+B+ = 100 ",
11,23,0,Na,,0,keV,,"3/2+",,STABLE,,,,,,,,100,0,-9529.85352,keV,0.00181,,
11,24,0,Na,,0,keV,,"4+",,14.9578,h,0.0011,,,,,,,,-8417.901,keV,0.017,"B- = 100 ",
11,25,0,Na,,0,keV,,"5/2+",,58.9,s,0.6,,,,,,,,-9357.814,keV,1.2,"B- = 100 ",
11,26,0,Na,,0,keV,,"3+",,1.07128,s,0.00025,,,,,,,,-6860.78,keV,3.502,"B- = 100 ",
11,27,0,Na,,0,keV,0,"5/2+",,301,ms,5,,,,,,,,-5517.791,keV,3.726,"B- = 100,B-n = 0.13 0.03",
11,28,0,Na,,0,keV,0,"1+",,34.6,ms,1,,,,,,,,-988.315,keV,10.246,"B- = 100,B-n = 0.58 0.12",
11,29,0,Na,,0,keV,0,"3/2+",,43.2,ms,0.4,,,,,,,,2679.994,keV,7.337,"B-n = 24.7 2.5,B-2n?,B- = 100",
11,30,0,Na,,0,keV,0,"2+",,44.8,ms,1.2,,,,,,,,8474.67,keV,4.727,"B-a = 0.000055 0.000002,B-2n = 1.15 0.25,B- = 100,B-n = 30 4",
11,31,0,Na,,0,keV,0,"3/2+",,17,ms,0.2,,,,,,,,12246.031,keV,13.972,"B-n = 38.8 3.8,B-2n = 0.87 0.24,B- = 100",
11,32,0,Na,,0,keV,0,"(3-),(4-)",,13.2,ms,0.3,,,,,,,,18640.152,keV,37.26,"B-n = 24 7,B-2n = 8.3 2.1,B- = 100",
11,33,0,Na,,0,keV,0,"3/2+",,8.2,ms,0.2,,,,,,,,23780.113,keV,449.912,"B-n = 47 6,B-2n = 13 3,B- = 100",
11,34,0,Na,,0,keV,0,,,5.5,ms,1,,,,,,,,31680.114,keV,599.416,"B-n ~ 15 ,B-2n ~ 50 ,B- = 100",
11,35,0,Na,,0,keV,0,,,2.4,ms,0.4,,,,,,,,37831,keV,670,"B-n?,B-2n?,B- = 100",
11,37,0,Na,,0,keV,0,,,,,,,,,,,,,53134,keV,687,"B-n?,B-2n?,B- = 100",
12,18,0,Mg,,0,keV,0,"0+",,,,,,115,keV,100,,,,,,,"2p ~ 100 ",
12,19,0,Mg,,0,keV,,"1/2-",,3500,fs,2800,,,,,,,,31838.394,keV,60.001,"2p ~ 100 ",
12,20,0,Mg,,0,keV,,"0+",,90.4,ms,0.8,,,,,,,,17477.694,keV,1.863,"ECp = 29.9 1.1,EC+B+ = 100",
12,21,0,Mg,,0,keV,,"5/2+",,120,ms,0.8,,,,,,,,10903.851,keV,0.755,"ECa = 0.115 0.019,EC+B+ = 100 ,ECp = 20.9 1.3",
12,22,0,Mg,,0,keV,,"0+",,3.87445,s,0.00069,,,,,,,,-399.986,keV,0.159,"EC+B+ = 100 ",
12,23,0,Mg,,0,keV,,"3/2+",,11.3042,s,0.0035,,,,,,,,-5473.675,keV,0.032,"EC+B+ = 100 ",
12,24,0,Mg,,0,keV,,"0+",,STABLE,,,,,,,,78.965,,-13933.578,keV,0.013,,
12,25,0,Mg,,0,keV,,"5/2+",,STABLE,,,,,,,,10.011,,-13192.782,keV,0.047,,
12,26,0,Mg,,0,keV,,"0+",,STABLE,,,,,,,,11.025,,-16214.544,keV,0.029,,
12,27,0,Mg,,0,keV,,"1/2+",,9.435,m,0.027,,,,,,,,-14586.594,keV,0.047,"B- = 100 ",
12,28,0,Mg,,0,keV,,"0+",,20.915,h,0.009,,,,,,,,-15019.946,keV,0.261,"B- = 100 ",
12,29,0,Mg,,0,keV,,"3/2+",,1.31,s,0.13,,,,,,,,-10612.36,keV,0.345,"B- = 100 ",
12,30,0,Mg,,0,keV,0,"0+",,314,ms,5,,,,,,,,-8881.373,keV,1.295,"B- = 100,B-n = 0.06 ",
12,31,0,Mg,,0,keV,0,"1/2+",,270,ms,2,,,,,,,,-3122.152,keV,3.074,"B- = 100,B-n = 6.2 1.9",
12,32,0,Mg,,0,keV,0,"0+",,80.4,ms,0.4,,,,,,,,-828.901,keV,3.26,"B- = 100,B-n = 5.5 0.5",
12,33,0,Mg,,0,keV,0,"3/2-",,90.2,ms,0.9,,,,,,,,4962.873,keV,2.663,"B-n = 14 2,B-2n?,B- = 100",
12,34,0,Mg,,0,keV,0,"0+",,44.9,ms,0.4,,,,,,,,8323.324,keV,6.893,"B-n = 21 7,B-2n?,B- = 100",
12,35,0,Mg,,0,keV,0,"(5/2-)",,11.3,ms,0.6,,,,,,,,15639.786,keV,269.668,"B-n = 52 46,B-2n?,B- = 100",
12,36,0,Mg,,0,keV,0,"0+",,7.2,ms,1.2,,,,,,,,20380.159,keV,690.237,"B-n = 48 12,B-2n?,B- = 100",
12,37,0,Mg,,0,keV,0,"(3/2-)",,6.4,ms,1.5,,,,,,,,28211.478,keV,698.947,"B-n?,B-2n?,B- = 100",
12,38,0,Mg,,0,keV,,"0+",,3.1,ms,0.5,,,,,,,,34074,keV,503,"B-n?,B-2n?,B- = 100 ",
12,40,0,Mg,,0,keV,0,"0+",,,,,,,,,,,,49550,keV,500,"B-n?,B-2n?,B- = 100",
13,21,0,Al,,0,keV,,"(5/2+)",,35,ns,,,,,,,,,27090,keV,600,"p?",
13,22,0,Al,,0,keV,,"(4)+",,88.6,ms,2.5,,,,,,,,18201,keV,401,"EC+B+ = 100,ECp = 57.7 0.6,ECa = 0.079 0.041,EC2p = 1.17 0.07",
13,23,0,Al,,0,keV,,"5/2+",,447,ms,36,,,,,,,,6748.071,keV,0.345,"ECp = 1.04 0.03,EC+B+ = 100 ",
13,24,0,Al,,0,keV,,"4+",,2.053,s,0.004,,,,,,,,-48.812,keV,0.228,"ECa = 0.035 0.006,EC+B+ = 100 ,ECp = 0.0016 0.0003",
13,24,1,Al,,425.8,keV,0.1,"1+",,130.7,ms,1.1,,,,,,,,376.988,keV,0.249,"ECa = 0.028 0.006,EC+B+ = 29.4 2.3,IT = 70.6 2.3",
13,25,0,Al,,0,keV,,"5/2+",,7.1666,s,0.0025,,,,,,,,-8915.974,keV,0.065,"EC+B+ = 100 ",
13,26,0,Al,,0,keV,,"5+",,716594,y,17071,,,,,,,,-12210.139,keV,0.066,"EC+B+ = 100 ",
13,26,1,Al,,228.305,keV,0.013,"0+",,6.34603,s,0.00054,,,,,,,,-11981.833999999999,keV,0.067268120235,"EC+B+ = 100 ",
13,27,0,Al,,0,keV,,"5/2+",,STABLE,,,,,,,,100,0,-17196.864,keV,0.047,,
13,28,0,Al,,0,keV,,"3+",,2.2483,m,0.0009,,,,,,,,-16850.719,keV,0.049,"B- = 100 ",
13,29,0,Al,,0,keV,,"5/2+",,6.56,m,0.06,,,,,,,,-18207.762,keV,0.345,"B- = 100 ",
13,30,0,Al,,0,keV,,"3+",,3.61,s,0.04,,,,,,,,-15864.116,keV,1.936,"B- = 100 ",
13,31,0,Al,,0,keV,0,"5/2(+)",,0.644,s,0.025,,,,,,,,-14950.709,keV,2.236,"B- = 100,B-n = 1.6 ",
13,32,0,Al,,0,keV,0,"1+",,31.7,ms,0.3,,,,,,,,-11099.368,keV,7.173,"B- = 100,B-n = 0.7 0.5",
