Z,N,A,element,level_index,level_energy_keV,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw
9,6,15,F,0,0.0,1/2+,16566.752,,1.1992105263157893e-21,chart,False,True,OTHER,p = 100 
9,7,16,F,0,0.0,0-,10675.182,,1.9727272727272722e-20,chart,False,True,OTHER,p = 100 
9,8,17,F,0,0.0,5/2+,1951.701,,64.368,chart,False,False,EC_BP,EC+B+ = 100 
9,9,18,F,0,0.0,1+,873.112,,6584.04,chart,False,False,EC_BP,EC+B+ = 100
9,10,19,F,0,0.0,1/2+,-1487.44512,100.0,,none,True,False,STABLE,
9,11,20,F,0,0.0,2+,-17.463,,11.0064,chart,False,False,B-,B- = 100 
9,12,21,F,0,0.0,5/2+,-47.605,,4.158,chart,False,False,B-,B- = 100 
9,13,22,F,0,0.0,4+,2793.376,,4.23,chart,False,False,B-,"B- = 100,B-n = 11 "
9,14,23,F,0,0.0,(5/2+),3285.263,,2.23,chart,False,False,B-,"B- = 100,B-n = 14 "
9,15,24,F,0,0.0,(3+),7544.516,,0.384,chart,False,False,B-,"B- = 100,B-n = 5.9 "
9,16,25,F,0,0.0,(5/2+),11334.167,,0.081,chart,False,False,B-,"B-n = 23.6 3.2,B-2n?,B- = 100"
9,17,26,F,0,0.0,1+,18674.655,,0.0086,chart,False,False,B-,"B-n = 14 3,B-2n?,B- = 100"
9,17,26,F,1,643.4,(4+),19318.055,,0.0022,wallet,False,False,IT,"B-n = 12 8,IT = 82 11,B- = 18 11"
9,18,27,F,0,0.0,(5/2+),25133.478,,0.0053,chart,False,False,B-,"B-n = 90 +10-30,B-2n?,B- = 100"
9,19,28,F,0,0.0,(4-),33403.796,,2.531666666666667e-21,chart,False,True,OTHER,n = 100
9,20,29,F,0,0.0,,40150.19,,0.0033,chart,False,False,B-,"B-n = 60 40,B-2n?,B- = 100"
9,21,30,F,0,0.0,,48960.0,,2.5000000000000004e-07,chart,False,False,OTHER,n?
9,22,31,F,0,0.0,,56843.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
10,5,15,Ne,0,0.0,(3/2-),40215.374,,7.723728813559322e-22,chart,False,True,OTHER,2p = 100 
10,6,16,Ne,0,0.0,0+,23986.775,,5.69625e-21,chart,False,True,OTHER,2p = 100
10,7,17,Ne,0,0.0,1/2-,16500.452,,0.1091,chart,False,False,EC_BP,"ECa = 3.51 0.16,EC+B+ = 100,ECp = 94.4 2.9"
10,8,18,Ne,0,0.0,0+,5317.617,,1.66432,chart,False,False,EC_BP,EC+B+ = 100 
10,9,19,Ne,0,0.0,1/2+,1752.054,,17.2569,chart,False,False,EC_BP,EC+B+ = 100 
10,10,20,Ne,0,0.0,0+,-7041.93217,90.48,,none,True,False,STABLE,
10,11,21,Ne,0,0.0,3/2+,-5731.776,0.27,,none,True,False,STABLE,
10,12,22,Ne,0,0.0,0+,-8024.716,9.25,,none,True,False,STABLE,
10,13,23,Ne,0,0.0,5/2+,-5154.045,,37.148,chart,False,False,B-,B- = 100 
10,14,24,Ne,0,0.0,0+,-5951.642,,202.8,chart,False,False,B-,B- = 100 
10,15,25,Ne,0,0.0,1/2+,-2035.503,,0.602,chart,False,False,B-,B- = 100 
10,16,26,Ne,0,0.0,0+,481.114,,0.196,chart,False,False,B-,"B- = 100,B-n = 0.13 0.03"
10,17,27,Ne,0,0.0,(3/2+),7050.91,,0.0309,chart,False,False,B-,"B-n = 2 0.5,B-2n?,B- = 100"
10,18,28,Ne,0,0.0,0+,11299.738,,0.0187,chart,False,False,B-,"B-n = 12 1,B-2n = 3.7 0.5,B- = 100"
10,19,29,Ne,0,0.0,(3/2-),18399.803,,0.014,chart,False,False,B-,"B-n = 28 6,B-2n = 4 1,B- = 100"
10,20,30,Ne,0,0.0,0+,23280.12,,0.0073,chart,False,False,B-,"B-n = 13 4,B-2n = 8.9 2.3,B- = 100"
10,21,31,Ne,0,0.0,(3/2-),31181.594,,0.0034,chart,False,False,B-,"B-n?,B-2n?,B- = 100 "
10,22,32,Ne,0,0.0,0+,36999.0,,0.0045,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
10,23,33,Ne,0,0.0,,46130.0,,1.8000000000000002e-07,chart,False,False,OTHER,n?
10,24,34,Ne,0,0.0,0+,52842.0,,,none,False,False,B-,"B-n?,B-2n?,B-?"
11,6,17,Na,0,0.0,(1/2+),34719.58,,,none,False,False,OTHER,p = 100
11,7,18,Na,0,0.0,(1)-,25037.992,,2.2785e-21,chart,False,True,OTHER,p ~ 100 
11,8,19,Na,0,0.0,(5/2+),12929.384,,1.1392499999999998e-20,chart,False,True,OTHER,p ~ 100 
11,9,20,Na,0,0.0,2+,6850.489,,0.448,chart,False,False,EC_BP,"ECa = 19.9 0.2,EC+B+ = 100"
11,10,21,Na,0,0.0,3/2+,-2184.857,,22.4548,chart,False,False,EC_BP,EC+B+ = 100 
11,11,22,Na,0,0.0,3+,-5181.391,,82109719.44,chart,False,False,EC_BP,EC+B+ = 100 
11,12,23,Na,0,0.0,3/2+,-9529.85352,100.0,,none,True,False,STABLE,
11,13,24,Na,0,0.0,4+,-8417.901,,53848.08,chart,False,False,B-,B- = 100 
11,14,25,Na,0,0.0,5/2+,-9357.814,,58.9,chart,False,False,B-,B- = 100 
11,15,26,Na,0,0.0,3+,-6860.78,,1.07128,chart,False,False,B-,B- = 100 
11,16,27,Na,0,0.0,5/2+,-5517.791,,0.301,chart,False,False,B-,"B- = 100,B-n = 0.13 0.03"
11,17,28,Na,0,0.0,1+,-988.315,,0.0346,chart,False,False,B-,"B- = 100,B-n = 0.58 0.12"
11,18,29,Na,0,0.0,3/2+,2679.994,,0.0432,chart,False,False,B-,"B-n = 24.7 2.5,B-2n?,B- = 100"
11,19,30,Na,0,0.0,2+,8474.67,,0.0448,chart,False,False,B-,"B-a = 0.000055 0.000002,B-2n = 1.15 0.25,B- = 100,B-n = 30 4"
11,20,31,Na,0,0.0,3/2+,12246.031,,0.017,chart,False,False,B-,"B-n = 38.8 3.8,B-2n = 0.87 0.24,B- = 100"
11,21,32,Na,0,0.0,"(3-),(4-)",18640.152,,0.0132,chart,False,False,B-,"B-n = 24 7,B-2n = 8.3 2.1,B- = 100"
11,22,33,Na,0,0.0,3/2+,23780.113,,0.0081999999999999,chart,False,False,B-,"B-n = 47 6,B-2n = 13 3,B- = 100"
11,23,34,Na,0,0.0,,31680.114,,0.0055,chart,False,False,B-,"B-n ~ 15 ,B-2n ~ 50 ,B- = 100"
11,24,35,Na,0,0.0,,37831.0,,0.0024,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
