Z,N,A,element,name,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw,N_over_Z
10,16,26,Ne,26Ne,0+,481.114,,0.196,chart,False,False,B-,"B- = 100,B-n = 0.13 0.03",1.6
10,17,27,Ne,27Ne,(3/2+),7050.91,,0.0309,chart,False,False,B-,"B-n = 2 0.5,B-2n?,B- = 100",1.7
10,18,28,Ne,28Ne,0+,11299.738,,0.0187,chart,False,False,B-,"B-n = 12 1,B-2n = 3.7 0.5,B- = 100",1.8
10,19,29,Ne,29Ne,(3/2-),18399.803,,0.014,chart,False,False,B-,"B-n = 28 6,B-2n = 4 1,B- = 100",1.9
10,20,30,Ne,30Ne,0+,23280.12,,0.0073,chart,False,False,B-,"B-n = 13 4,B-2n = 8.9 2.3,B- = 100",2.0
10,21,31,Ne,31Ne,(3/2-),31181.594,,0.0034,chart,False,False,B-,"B-n?,B-2n?,B- = 100 ",2.1
10,22,32,Ne,32Ne,0+,36999.0,,0.0045,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.2
10,23,33,Ne,33Ne,,46130.0,,1.8000000000000002e-07,chart,False,False,OTHER,n?,2.3
10,24,34,Ne,34Ne,0+,52842.0,,,none,False,False,B-,"B-n?,B-2n?,B-?",2.4
11,6,17,Na,17Na,(1/2+),34719.58,,,none,False,False,OTHER,p = 100,0.5454545454545454
11,7,18,Na,18Na,(1)-,25037.992,,2.2785e-21,chart,False,True,OTHER,p ~ 100 ,0.6363636363636364
11,8,19,Na,19Na,(5/2+),12929.384,,1.1392499999999998e-20,chart,False,True,OTHER,p ~ 100 ,0.7272727272727273
11,9,20,Na,20Na,2+,6850.489,,0.448,chart,False,False,EC_BP,"ECa = 19.9 0.2,EC+B+ = 100",0.8181818181818182
11,10,21,Na,21Na,3/2+,-2184.857,,22.4548,chart,False,False,EC_BP,EC+B+ = 100 ,0.9090909090909091
11,11,22,Na,22Na,3+,-5181.391,,82109719.44,chart,False,False,EC_BP,EC+B+ = 100 ,1.0
11,12,23,Na,23Na,3/2+,-9529.85352,100.0,,none,True,False,STABLE,,1.0909090909090908
11,13,24,Na,24Na,4+,-8417.901,,53848.08,chart,False,False,B-,B- = 100 ,1.1818181818181819
11,14,25,Na,25Na,5/2+,-9357.814,,58.9,chart,False,False,B-,B- = 100 ,1.2727272727272727
11,15,26,Na,26Na,3+,-6860.78,,1.07128,chart,False,False,B-,B- = 100 ,1.3636363636363635
11,16,27,Na,27Na,5/2+,-5517.791,,0.301,chart,False,False,B-,"B- = 100,B-n = 0.13 0.03",1.4545454545454546
11,17,28,Na,28Na,1+,-988.315,,0.0346,chart,False,False,B-,"B- = 100,B-n = 0.58 0.12",1.5454545454545454
11,18,29,Na,29Na,3/2+,2679.994,,0.0432,chart,False,False,B-,"B-n = 24.7 2.5,B-2n?,B- = 100",1.6363636363636365
11,19,30,Na,30Na,2+,8474.67,,0.0448,chart,False,False,B-,"B-a = 0.000055 0.000002,B-2n = 1.15 0.25,B- = 100,B-n = 30 4",1.7272727272727273
11,20,31,Na,31Na,3/2+,12246.031,,0.017,chart,False,False,B-,"B-n = 38.8 3.8,B-2n = 0.87 0.24,B- = 100",1.8181818181818181
11,21,32,Na,32Na,"(3-),(4-)",18640.152,,0.0132,chart,False,False,B-,"B-n = 24 7,B-2n = 8.3 2.1,B- = 100",1.9090909090909092
11,22,33,Na,33Na,3/2+,23780.113,,0.0081999999999999,chart,False,False,B-,"B-n = 47 6,B-2n = 13 3,B- = 100",2.0
11,23,34,Na,34Na,,31680.114,,0.0055,chart,False,False,B-,"B-n ~ 15 ,B-2n ~ 50 ,B- = 100",2.090909090909091
11,24,35,Na,35Na,,37831.0,,0.0024,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.1818181818181817
11,26,37,Na,37Na,,53134.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100",2.3636363636363638
12,6,18,Mg,18Mg,0+,,,3.962608695652174e-21,chart,False,True,OTHER,2p ~ 100 ,0.5
12,7,19,Mg,19Mg,1/2-,31838.394,,3.5000000000000004e-12,chart,False,False,OTHER,2p ~ 100 ,0.5833333333333334
12,8,20,Mg,20Mg,0+,17477.694,,0.0904,chart,False,False,EC_BP,"ECp = 29.9 1.1,EC+B+ = 100",0.6666666666666666
12,9,21,Mg,21Mg,5/2+,10903.851,,0.12,chart,False,False,EC_BP,"ECa = 0.115 0.019,EC+B+ = 100 ,ECp = 20.9 1.3",0.75
12,10,22,Mg,22Mg,0+,-399.986,,3.87445,chart,False,False,EC_BP,EC+B+ = 100 ,0.8333333333333334
12,11,23,Mg,23Mg,3/2+,-5473.675,,11.3042,chart,False,False,EC_BP,EC+B+ = 100 ,0.9166666666666666
12,12,24,Mg,24Mg,0+,-13933.578,78.965,,none,True,False,STABLE,,1.0
12,13,25,Mg,25Mg,5/2+,-13192.782,10.011,,none,True,False,STABLE,,1.0833333333333333
12,14,26,Mg,26Mg,0+,-16214.544,11.025,,none,True,False,STABLE,,1.1666666666666667
12,15,27,Mg,27Mg,1/2+,-14586.594,,566.1,chart,False,False,B-,B- = 100 ,1.25
12,16,28,Mg,28Mg,0+,-15019.946,,75294.0,chart,False,False,B-,B- = 100 ,1.3333333333333333
12,17,29,Mg,29Mg,3/2+,-10612.36,,1.31,chart,False,False,B-,B- = 100 ,1.4166666666666667
12,18,30,Mg,30Mg,0+,-8881.373,,0.314,chart,False,False,B-,"B- = 100,B-n = 0.06 ",1.5
12,19,31,Mg,31Mg,1/2+,-3122.152,,0.27,chart,False,False,B-,"B- = 100,B-n = 6.2 1.9",1.5833333333333333
12,20,32,Mg,32Mg,0+,-828.901,,0.0804,chart,False,False,B-,"B- = 100,B-n = 5.5 0.5",1.6666666666666667
12,21,33,Mg,33Mg,3/2-,4962.873,,0.0902,chart,False,False,B-,"B-n = 14 2,B-2n?,B- = 100",1.75
12,22,34,Mg,34Mg,0+,8323.324,,0.0449,chart,False,False,B-,"B-n = 21 7,B-2n?,B- = 100",1.8333333333333333
12,23,35,Mg,35Mg,(5/2-),15639.786,,0.0113,chart,False,False,B-,"B-n = 52 46,B-2n?,B- = 100",1.9166666666666667
12,24,36,Mg,36Mg,0+,20380.159,,0.0072,chart,False,False,B-,"B-n = 48 12,B-2n?,B- = 100",2.0
12,25,37,Mg,37Mg,(3/2-),28211.478,,0.0064,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.0833333333333335
12,26,38,Mg,38Mg,0+,34074.0,,0.0031,chart,False,False,B-,"B-n?,B-2n?,B- = 100 ",2.1666666666666665
12,28,40,Mg,40Mg,0+,49550.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100",2.3333333333333335
13,8,21,Al,21Al,(5/2+),27090.0,,3.5e-08,chart,False,False,OTHER,p?,0.6153846153846154
13,9,22,Al,22Al,(4)+,18201.0,,0.0886,chart,False,False,EC_BP,"EC+B+ = 100,ECp = 57.7 0.6,ECa = 0.079 0.041,EC2p = 1.17 0.07",0.6923076923076923
13,10,23,Al,23Al,5/2+,6748.071,,0.447,chart,False,False,EC_BP,"ECp = 1.04 0.03,EC+B+ = 100 ",0.7692307692307693
13,11,24,Al,24Al,4+,-48.812,,2.053,chart,False,False,EC_BP,"ECa = 0.035 0.006,EC+B+ = 100 ,ECp = 0.0016 0.0003",0.8461538461538461
13,12,25,Al,25Al,5/2+,-8915.974,,7.1666,chart,False,False,EC_BP,EC+B+ = 100 ,0.9230769230769231
13,13,26,Al,26Al,5+,-12210.139,,22613986814400.0,chart,False,False,EC_BP,EC+B+ = 100 ,1.0
13,14,27,Al,27Al,5/2+,-17196.864,100.0,,none,True,False,STABLE,,1.0769230769230769
13,15,28,Al,28Al,3+,-16850.719,,134.898,chart,False,False,B-,B- = 100 ,1.1538461538461537
13,16,29,Al,29Al,5/2+,-18207.762,,393.6,chart,False,False,B-,B- = 100 ,1.2307692307692308
13,17,30,Al,30Al,3+,-15864.116,,3.61,chart,False,False,B-,B- = 100 ,1.3076923076923077
13,18,31,Al,31Al,5/2(+),-14950.709,,0.644,chart,False,False,B-,"B- = 100,B-n = 1.6 ",1.3846153846153846
13,19,32,Al,32Al,1+,-11099.368,,0.0317,chart,False,False,B-,"B- = 100,B-n = 0.7 0.5",1.4615384615384615
13,20,33,Al,33Al,5/2+,-8497.382,,0.0415,chart,False,False,B-,"B- = 100,B-n = 8.5 0.7",1.5384615384615385
13,21,34,Al,34Al,4-,-2997.619,,0.05373,chart,False,False,B-,"B-n = 25 3,B-2n?,B- = 100",1.6153846153846154
13,22,35,Al,35Al,(5/2+),-223.73,,0.0384,chart,False,False,B-,"B-n = 38 2,B-2n?,B- = 100",1.6923076923076923
13,23,36,Al,36Al,,5950.384,,0.09,chart,False,False,B-,"B-n = 31 ,B-2n?,B- = 100",1.7692307692307692
13,24,37,Al,37Al,(5/2+),9809.564,,0.0114,chart,False,False,B-,"B-n = 52 5,B-2n = 1 ,B- = 100",1.8461538461538463
13,25,38,Al,38Al,(0-),16470.0,,0.009,chart,False,False,B-,"B-n = 84 19,B-2n?,B- = 100",1.9230769230769231
13,26,39,Al,39Al,,21490.0,,0.00723,chart,False,False,B-,"B-n = 97 +3-22,B-2n?,B- = 100",2.0
13,27,40,Al,40Al,,28820.0,,0.0057,chart,False,False,B-,"B-n?,B-2n?,B- = 100",2.076923076923077
13,28,41,Al,41Al,,34590.0,,0.0035,chart,False,False,B-,"B-n?,B-2n?,B- = 100 ",2.1538461538461537
13,29,42,Al,42Al,,41990.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100",2.230769230769231
13,30,43,Al,43Al,,48270.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100",2.3076923076923075
